uc_id,coeff,val
1,0,0.000000
1,1,1e-06
2,0,0.000000
2,1,1e-09
3,0,0.000000
3,1,1e-12
119,0,0.000000
119,1,0.001000
218,0,0.000000
218,1,0.002040
219,0,0.000000
219,1,0.002085
220,0,0.000000
220,1,0.001447
221,0,0.000000
221,1,0.002031
222,0,0.000000
222,1,0.001451
223,0,0.000000
223,1,0.002083
224,0,0.000000
224,1,0.002104
225,0,0.000000
225,1,0.001773
226,0,0.000000
226,1,0.001777
227,0,0.000000
227,1,0.001782
228,0,0.000000
228,1,0.002197
229,0,0.000000
229,1,0.002129
230,0,0.000000
230,1,0.001771
231,0,0.000000
231,1,0.001730
232,0,0.000000
232,1,0.001774
233,0,0.000000
233,1,0.002078
234,0,0.000000
234,1,0.002035
235,0,0.000000
235,1,0.001453
236,0,0.000000
236,1,0.002061
237,0,0.000000
237,1,0.001457
238,0,0.000000
238,1,0.002065
239,0,0.000000
239,1,0.002071
240,0,0.000000
240,1,0.002076
241,0,0.000000
241,1,0.002108
242,0,0.000000
242,1,0.001451
243,0,0.000000
243,1,0.002036
244,0,0.000000
244,1,0.001458
245,0,0.000000
245,1,0.002046
246,0,0.000000
246,1,0.002057
247,0,0.000000
247,1,0.002078
248,0,0.000000
248,1,0.002077
249,0,0.000000
249,1,0.001441
250,0,0.000000
250,1,0.002063
251,0,0.000000
251,1,0.001446
252,0,0.000000
252,1,0.002071
253,0,0.000000
253,1,0.002067
254,0,0.000000
254,1,0.002088
255,0,0.000000
255,1,0.002062
256,0,0.000000
256,1,0.001440
257,0,0.000000
257,1,0.002042
258,0,0.000000
258,1,0.001456
259,0,0.000000
259,1,0.002078
260,0,0.000000
260,1,0.002148
261,0,0.000000
261,1,0.002059
262,0,0.000000
262,1,0.002053
263,0,0.000000
263,1,0.001460
264,0,0.000000
264,1,0.002090
265,0,0.000000
265,1,0.001459
266,0,0.000000
266,1,0.002066
267,0,0.000000
267,1,0.002104
268,0,0.000000
268,1,0.002040
269,0,0.000000
269,1,0.002099
270,0,0.000000
270,1,0.001456
271,0,0.000000
271,1,0.002037
272,0,0.000000
272,1,0.001471
273,0,0.000000
273,1,0.002080
274,0,0.000000
274,1,0.002090
275,0,0.000000
275,1,0.002000
276,0,0.000000
276,1,0.000238
277,0,0.000000
277,1,0.002073
278,0,0.000000
278,1,0.002117
279,0,0.000000
279,1,0.001435
280,0,0.000000
280,1,0.002069
281,0,0.000000
281,1,0.001455
282,0,0.000000
282,1,0.002061
283,0,0.000000
283,1,0.002076
