id,name,type,length
236,,HCHICA,0.000000
237,,DRIFT,0.050000
238,,DRIFT,0.439000
239,,DRIFT,0.002500
240,,BPM,0.000000
241,,DRIFT,1.288300
242,,QUAD,0.406400
243,,DRIFT,0.146800
244,,DRIFT,0.005000
245,,SEXT,0.290000
246,,DRIFT,0.005000
247,,DRIFT,0.231850
248,,QUAD,0.606300
249,,DRIFT,0.458350
250,,QUAD,0.307000
251,,DRIFT,0.196500
252,,DRIFT,0.005000
253,,SEXT,0.290000
254,,DRIFT,0.005000
255,,DRIFT,0.185000
256,,BPM,0.000000
257,,DRIFT,0.484000
258,,BEND,0.933000
259,,DRIFT,0.585800
260,,QUAD,0.406400
261,,DRIFT,0.158300
262,,BPM,0.000000
263,,DRIFT,0.263500
264,,DRIFT,0.005000
265,,SEXT,0.190000
266,,DRIFT,0.005000
267,,DRIFT,0.195200
268,,QUAD,0.407600
269,,DRIFT,0.118700
270,,BPM,0.000000
271,,DRIFT,0.116000
272,,DRIFT,0.005000
273,,SEXT,0.290000
274,,DRIFT,0.005000
275,,DRIFT,0.234700
276,,QUAD,0.407600
277,,DRIFT,0.195200
278,,DRIFT,0.005000
279,,SEXT,0.190000
280,,DRIFT,0.005000
281,,DRIFT,0.421800
282,,QUAD,0.406400
283,,DRIFT,0.101800
284,,BPM,0.000000
285,,DRIFT,0.484000
286,,BEND,0.933000
287,,DRIFT,0.669000
288,,DRIFT,0.005000
289,,SEXT,0.290000
290,,DRIFT,0.005000
291,,DRIFT,0.196500
292,,QUAD,0.307000
293,,DRIFT,0.173000
294,,BPM,0.000000
295,,DRIFT,0.285350
296,,QUAD,0.606300
297,,DRIFT,0.231850
298,,DRIFT,0.005000
299,,SEXT,0.290000
300,,DRIFT,0.005000
301,,DRIFT,0.146800
302,,QUAD,0.406400
303,,DRIFT,1.288300
304,,BPM,0.000000
305,,DRIFT,0.002500
306,,DRIFT,1.219500
307,,DRIFT,0.050000
308,,HCHICA,0.000000
309,,DRIFT,0.050000
310,,DRIFT,0.280500
311,,DRIFT,0.150000
312,,HTRIM,0.000000
313,,VTRIM,0.000000
314,,DRIFT,0.150000
315,,DRIFT,0.977500
316,,source,0.000000
317,,DRIFT,0.977500
318,,DRIFT,0.150000
319,,HTRIM,0.000000
320,,VTRIM,0.000000
321,,DRIFT,0.150000
322,,DRIFT,0.054000
323,,DRIFT,0.050000
324,,HCHICA,0.000000
325,,DRIFT,0.050000
326,,DRIFT,0.150000
327,,HTRIM,0.000000
328,,VTRIM,0.000000
329,,DRIFT,0.150000
330,,DRIFT,0.153500
331,,source,0.000000
332,,DRIFT,0.153500
333,,DRIFT,0.150000
334,,HTRIM,0.000000
335,,VTRIM,0.000000
336,,DRIFT,0.150000
337,,DRIFT,0.050000
338,,HCHICA,0.000000
339,,DRIFT,0.050000
340,,DRIFT,0.439000
341,,DRIFT,0.002500
342,,BPM,0.000000
343,,DRIFT,1.288300
344,,QUAD,0.406400
345,,DRIFT,0.146800
346,,DRIFT,0.005000
347,,SEXT,0.290000
348,,DRIFT,0.005000
349,,DRIFT,0.231850
350,,QUAD,0.606300
351,,DRIFT,0.458350
352,,QUAD,0.307000
353,,DRIFT,0.196500
354,,DRIFT,0.005000
355,,SEXT,0.290000
356,,DRIFT,0.005000
357,,DRIFT,0.185000
358,,BPM,0.000000
359,,DRIFT,0.484000
360,,BEND,0.933000
361,,DRIFT,0.585800
362,,QUAD,0.406400
