uc_id,eng,phy
1,180.00000000,-17.56000000
1,100.00000000,-9.85000000
1,50.00000000,-4.95000000
2,180.00000000,17.62000000
2,100.00000000,9.87000000
2,50.00000000,4.96000000
3,180.00000000,-17.53000000
3,100.00000000,-9.87000000
3,50.00000000,-4.96000000
4,180.00000000,-17.59000000
4,100.00000000,-9.87000000
4,50.00000000,-4.96000000
5,180.00000000,17.56000000
5,100.00000000,9.86000000
5,50.00000000,4.96000000
6,180.00000000,17.56000000
6,100.00000000,9.87000000
6,50.00000000,4.96000000
7,180.00000000,-17.62000000
7,100.00000000,-9.90000000
7,50.00000000,-4.98000000
8,180.00000000,-17.55000000
8,100.00000000,-9.91000000
8,50.00000000,-4.98000000
9,180.00000000,17.70000000
9,100.00000000,9.92000000
9,50.00000000,4.99000000
10,180.00000000,-17.60000000
10,100.00000000,-9.89000000
10,50.00000000,-4.97000000
11,0.00000000,-0.08300626
11,50.00000000,-28.19263554
11,100.00000000,-54.53542886
11,150.00000000,-66.99082248
11,170.00000000,-69.53236141
11,180.00000000,-70.41851561
11,186.00000000,-70.82774732
11,192.00000000,-71.18159332
11,196.00000000,-71.40620889
11,200.00000000,-71.59697871
12,0.00000000,-0.09389143
12,50.00000000,-28.12800752
12,100.00000000,-54.49144387
12,150.00000000,-66.91716203
12,170.00000000,-69.47716249
12,180.00000000,-70.37716214
12,186.00000000,-70.80573436
12,192.00000000,-71.16573584
12,196.00000000,-71.38287812
12,200.00000000,-71.58859139
13,0.00000000,0.08188309
13,50.00000000,28.19692309
13,100.00000000,54.56923078
13,150.00000000,66.97846156
13,170.00000000,69.51692312
13,180.00000000,70.39384616
13,186.00000000,70.81076926
13,192.00000000,71.17230771
13,196.00000000,71.39076924
13,200.00000000,71.59076926
14,0.00000000,0.06134180
14,50.00000000,28.15233634
14,100.00000000,54.45236061
14,150.00000000,66.95391309
14,170.00000000,69.50776347
14,180.00000000,70.38776091
14,186.00000000,70.80929562
14,192.00000000,71.16622195
14,196.00000000,71.37545575
14,200.00000000,71.57237045
15,0.00000000,0.07758058
15,50.00000000,28.20857291
15,100.00000000,54.58857373
15,150.00000000,67.00286021
15,170.00000000,69.54857435
15,180.00000000,70.41143157
15,186.00000000,70.82571736
15,192.00000000,71.19428865
15,196.00000000,71.40000344
15,200.00000000,71.59428979
16,0.00000000,0.05716930
16,50.00000000,28.13201713
16,100.00000000,54.46575160
16,150.00000000,66.95718738
16,170.00000000,69.51718841
16,180.00000000,70.40861798
16,186.00000000,70.83147300
16,192.00000000,71.19432961
16,196.00000000,71.41433463
16,200.00000000,71.61719138
17,0.00000000,0.07732946
