el_id,field,uc_type,uc_id
1951,x_kick,poly,370
1957,x_kick,poly,371
1968,x_kick,poly,372
1978,x_kick,poly,373
2002,x_kick,poly,374
2010,x_kick,poly,375
2022,x_kick,poly,376
2030,x_kick,poly,377
2036,x_kick,poly,378
2047,x_kick,poly,379
2057,x_kick,poly,380
2081,x_kick,poly,381
2089,x_kick,poly,382
2101,x_kick,poly,383
2109,x_kick,poly,384
2115,x_kick,poly,385
2126,x_kick,poly,386
2136,x_kick,poly,387
8,y_kick,poly,388
16,y_kick,poly,389
28,y_kick,poly,390
36,y_kick,poly,391
42,y_kick,poly,392
52,y_kick,poly,393
62,y_kick,poly,394
101,y_kick,poly,395
126,y_kick,poly,396
130,y_kick,poly,397
140,y_kick,poly,398
160,y_kick,poly,399
179,y_kick,poly,400
183,y_kick,poly,401
202,y_kick,poly,402
245,y_kick,poly,403
253,y_kick,poly,404
265,y_kick,poly,405
273,y_kick,poly,406
279,y_kick,poly,407
289,y_kick,poly,408
299,y_kick,poly,409
347,y_kick,poly,410
355,y_kick,poly,411
367,y_kick,poly,412
375,y_kick,poly,413
381,y_kick,poly,414
391,y_kick,poly,415
401,y_kick,poly,416
428,y_kick,poly,417
436,y_kick,poly,418
448,y_kick,poly,419
456,y_kick,poly,420
462,y_kick,poly,421
472,y_kick,poly,422
482,y_kick,poly,423
519,y_kick,poly,424
527,y_kick,poly,425
539,y_kick,poly,426
547,y_kick,poly,427
553,y_kick,poly,428
563,y_kick,poly,429
573,y_kick,poly,430
611,y_kick,poly,431
619,y_kick,poly,432
631,y_kick,poly,433
639,y_kick,poly,434
645,y_kick,poly,435
656,y_kick,poly,436
666,y_kick,poly,437
690,y_kick,poly,438
698,y_kick,poly,439
710,y_kick,poly,440
718,y_kick,poly,441
724,y_kick,poly,442
734,y_kick,poly,443
744,y_kick,poly,444
770,y_kick,poly,445
783,y_kick,poly,446
806,y_kick,poly,447
814,y_kick,poly,448
826,y_kick,poly,449
834,y_kick,poly,450
840,y_kick,poly,451
850,y_kick,poly,452
860,y_kick,poly,453
920,y_kick,poly,454
928,y_kick,poly,455
940,y_kick,poly,456
948,y_kick,poly,457
954,y_kick,poly,458
964,y_kick,poly,459
974,y_kick,poly,460
998,y_kick,poly,461
1006,y_kick,poly,462
1018,y_kick,poly,463
1026,y_kick,poly,464
1032,y_kick,poly,465
1042,y_kick,poly,466
1052,y_kick,poly,467
1076,y_kick,poly,468
1084,y_kick,poly,469
1096,y_kick,poly,470
1104,y_kick,poly,471
1110,y_kick,poly,472
1120,y_kick,poly,473
1130,y_kick,poly,474
1156,y_kick,poly,475
1169,y_kick,poly,476
1192,y_kick,poly,477
1200,y_kick,poly,478
1212,y_kick,poly,479
1220,y_kick,poly,480
1226,y_kick,poly,481
1236,y_kick,poly,482
1246,y_kick,poly,483
1270,y_kick,poly,484
1278,y_kick,poly,485
1290,y_kick,poly,486
1298,y_kick,poly,487
1304,y_kick,poly,488
1314,y_kick,poly,489
1324,y_kick,poly,490
1348,y_kick,poly,491
1356,y_kick,poly,492
1368,y_kick,poly,493
1376,y_kick,poly,494
1382,y_kick,poly,495
1392,y_kick,poly,496
1402,y_kick,poly,497
1428,y_kick,poly,498
1436,y_kick,poly,499
1448,y_kick,poly,500
1456,y_kick,poly,501
