el_id,field,uc_type,uc_id
1883,x,poly,116
1883,y,poly,116
1894,x,poly,116
1894,y,poly,116
1904,x,poly,116
1904,y,poly,116
1918,x,poly,116
1918,y,poly,116
1934,x,poly,116
1934,y,poly,116
1940,x,poly,116
1940,y,poly,116
1948,x,poly,116
1948,y,poly,116
1962,x,poly,116
1962,y,poly,116
1973,x,poly,116
1973,y,poly,116
1983,x,poly,116
1983,y,poly,116
1997,x,poly,116
1997,y,poly,116
2013,x,poly,116
2013,y,poly,116
2019,x,poly,116
2019,y,poly,116
2027,x,poly,116
2027,y,poly,116
2041,x,poly,116
2041,y,poly,116
2052,x,poly,116
2052,y,poly,116
2062,x,poly,116
2062,y,poly,116
2076,x,poly,116
2076,y,poly,116
2092,x,poly,116
2092,y,poly,116
