uc_id,coeff,val
115,0,0.000000
115,1,0.001000
213,0,0.000000
213,1,0.002040
214,0,0.000000
214,1,0.002085
215,0,0.000000
215,1,0.001447
216,0,0.000000
216,1,0.002031
217,0,0.000000
217,1,0.001451
218,0,0.000000
218,1,0.002083
219,0,0.000000
219,1,0.002104
220,0,0.000000
220,1,0.001773
221,0,0.000000
221,1,0.001777
222,0,0.000000
222,1,0.001782
223,0,0.000000
223,1,0.002197
224,0,0.000000
224,1,0.002129
225,0,0.000000
225,1,0.001771
226,0,0.000000
226,1,0.001730
227,0,0.000000
227,1,0.001774
228,0,0.000000
228,1,0.002078
229,0,0.000000
229,1,0.002035
230,0,0.000000
230,1,0.001453
231,0,0.000000
231,1,0.002061
232,0,0.000000
232,1,0.001457
233,0,0.000000
233,1,0.002065
234,0,0.000000
234,1,0.002071
235,0,0.000000
235,1,0.002076
236,0,0.000000
236,1,0.002108
237,0,0.000000
237,1,0.001451
238,0,0.000000
238,1,0.002036
239,0,0.000000
239,1,0.001458
240,0,0.000000
240,1,0.002046
241,0,0.000000
241,1,0.002057
242,0,0.000000
242,1,0.002078
243,0,0.000000
243,1,0.002077
244,0,0.000000
244,1,0.001441
245,0,0.000000
245,1,0.002063
246,0,0.000000
246,1,0.001446
247,0,0.000000
247,1,0.002071
248,0,0.000000
248,1,0.002067
249,0,0.000000
249,1,0.002088
250,0,0.000000
250,1,0.002062
251,0,0.000000
251,1,0.001440
252,0,0.000000
252,1,0.002042
253,0,0.000000
253,1,0.001456
254,0,0.000000
254,1,0.002078
255,0,0.000000
255,1,0.002148
256,0,0.000000
256,1,0.002059
257,0,0.000000
257,1,0.002053
258,0,0.000000
258,1,0.001460
259,0,0.000000
259,1,0.002090
260,0,0.000000
260,1,0.001459
261,0,0.000000
261,1,0.002066
262,0,0.000000
262,1,0.002104
263,0,0.000000
263,1,0.002040
264,0,0.000000
264,1,0.002099
265,0,0.000000
265,1,0.001456
266,0,0.000000
266,1,0.002037
267,0,0.000000
267,1,0.001471
268,0,0.000000
268,1,0.002080
269,0,0.000000
269,1,0.002090
270,0,0.000000
270,1,0.002000
271,0,0.000000
271,1,0.000238
272,0,0.000000
272,1,0.002073
273,0,0.000000
273,1,0.002117
274,0,0.000000
274,1,0.001435
275,0,0.000000
275,1,0.002069
276,0,0.000000
276,1,0.001455
277,0,0.000000
277,1,0.002061
278,0,0.000000
278,1,0.002076
279,0,0.000000
279,1,0.002075
280,0,0.000000
280,1,0.002098
281,0,0.000000
281,1,0.001438
282,0,0.000000
282,1,0.002105
283,0,0.000000
283,1,0.001454
284,0,0.000000
284,1,0.002065
285,0,0.000000
285,1,0.002070
286,0,0.000000
286,1,0.002058
287,0,0.000000
287,1,0.002058
288,0,0.000000
288,1,0.001456
289,0,0.000000
289,1,0.002032
290,0,0.000000
290,1,0.002071
291,0,0.000000
291,1,0.002074
292,0,0.000000
292,1,0.002078
293,0,0.000000
293,1,0.002068
294,0,0.000000
294,1,0.001465
295,0,0.000000
295,1,0.002054
296,0,0.000000
296,1,0.001466
297,0,0.000000
297,1,0.002048
298,0,0.000000
298,1,0.002035
299,0,0.000000
299,1,0.002000
300,0,0.000000
300,1,0.000238
301,0,0.000000
301,1,0.002069
302,0,0.000000
302,1,0.002055
303,0,0.000000
303,1,0.001480
304,0,0.000000
304,1,0.002041
305,0,0.000000
305,1,0.001470
306,0,0.000000
306,1,0.002065
307,0,0.000000
307,1,0.002110
308,0,0.000000
308,1,0.002093
309,0,0.000000
309,1,0.002081
310,0,0.000000
310,1,0.001442
311,0,0.000000
311,1,0.002089
312,0,0.000000
312,1,0.001457
313,0,0.000000
313,1,0.002054
314,0,0.000000
314,1,0.002110
315,0,0.000000
315,1,0.002079
316,0,0.000000
316,1,0.002090
317,0,0.000000
317,1,0.001459
318,0,0.000000
318,1,0.002096
319,0,0.000000
319,1,0.001453
320,0,0.000000
320,1,0.002051
321,0,0.000000
321,1,0.002081
322,0,0.000000
322,1,0.002067
323,0,0.000000
323,1,0.002092
324,0,0.000000
324,1,0.001454
325,0,0.000000
325,1,0.002069
326,0,0.000000
326,1,0.001455
327,0,0.000000
327,1,0.002078
328,0,0.000000
328,1,0.002071
329,0,0.000000
329,1,0.002097
330,0,0.000000
330,1,0.002053
331,0,0.000000
331,1,0.001444
332,0,0.000000
332,1,0.002052
333,0,0.000000
333,1,0.001459
334,0,0.000000
334,1,0.002085
335,0,0.000000
335,1,0.002077
336,0,0.000000
336,1,0.002084
337,0,0.000000
337,1,0.002066
338,0,0.000000
338,1,0.001448
339,0,0.000000
339,1,0.002053
340,0,0.000000
340,1,0.001417
341,0,0.000000
341,1,0.002035
342,0,0.000000
342,1,0.002050
343,0,0.000000
343,1,0.002039
344,0,0.000000
344,1,0.002082
345,0,0.000000
345,1,0.001441
346,0,0.000000
346,1,0.002042
347,0,0.000000
347,1,0.001440
348,0,0.000000
348,1,0.002044
349,0,0.000000
349,1,0.002093
350,0,0.000000
350,1,0.002090
351,0,0.000000
351,1,0.002050
352,0,0.000000
352,1,0.001449
353,0,0.000000
353,1,0.002057
354,0,0.000000
354,1,0.001454
