id,family
363,S2A
363,SQUAD
363,HSTR
363,VSTR
364,DSEXT
365,D2A
366,Q1AB
367,D1Aa
368,BPM
369,D1Ab
370,DSEXT
371,S1A
371,HSTR
371,VSTR
372,DSEXT
373,D1A
374,Q1AD
375,D2A
376,DSEXT
377,S2A
377,SQUAD
377,HSTR
377,VSTR
378,DSEXT
379,D3A
380,Q2AD
381,D4Aa
382,BPM
383,D4Ab
384,BB
385,D6B
386,DSEXT
387,S2D
387,HSTR
387,VSTR
388,DSEXT
389,D5B
390,Q3D
391,D4Ba
392,BPM
393,D4Bb
394,Q2D
395,D3B
396,DSEXT
397,S1D
397,SQUAD
397,HSTR
397,VSTR
398,DSEXT
399,D2B
400,Q1D
401,KD1
402,BPM
403,DBPM
404,DI05
405,DRIFT
406,HTRIM
407,VTRIM
408,DRIFT
409,shim
410,source
411,shim
412,DRIFT
413,HTRIM
414,VTRIM
415,DRIFT
416,AP
417,DI05
418,DBPM
419,BPM
420,KD1
421,Q1D
422,D2B
423,DSEXT
424,S1D
424,SQUAD
424,HSTR
424,VSTR
425,DSEXT
426,D3B
427,Q2D
428,D4B
429,Q3D
430,D5B
431,DSEXT
432,S2D
432,HSTR
432,VSTR
433,DSEXT
434,D6Ba
435,BPM
436,D6Bb
437,BB
438,D4A
439,Q2AD
440,D3Aa
441,BPM
442,D3Ab
443,DSEXT
444,S2A
444,SQUAD
444,HSTR
444,VSTR
445,DSEXT
446,D2A
447,Q1AD
448,D1Aa
449,BPM
450,D1Ab
451,DSEXT
452,S1A
452,HSTR
452,VSTR
453,DSEXT
454,D1A
455,Q1AB
456,D2A
457,DSEXT
458,S2A
458,SQUAD
458,HSTR
458,VSTR
459,DSEXT
460,D3A
461,Q2AB
462,D4Aa
463,BPM
464,D4Ab
465,BB
466,D6B
467,DSEXT
468,S2C
468,HSTR
468,VSTR
469,DSEXT
470,D5B
471,Q3B
472,D4Ba
473,BPM
474,D4Bb
475,Q2B
476,D3B
477,DSEXT
478,S1C
478,SQUAD
478,HSTR
478,VSTR
479,DSEXT
480,D2B
481,Q1B
482,KD1
483,BPM
484,DBPM
485,DRIFT
486,DRIFT
487,HTRIM
488,VTRIM
489,DRIFT
490,HU64
491,source
492,HU64
493,DRIFT
494,HTRIM
495,VTRIM
496,DRIFT
497,DRIFT
498,HTRIM
499,VTRIM
500,DRIFT
501,HU64
502,source
503,HU64
504,DRIFT
505,HTRIM
506,VTRIM
507,DRIFT
508,DRIFT
509,DBPM
510,BPM
511,KD1
512,Q1B
513,D2B
514,DSEXT
515,S1B
515,SQUAD
515,HSTR
515,VSTR
516,DSEXT
517,D3B
518,Q2B
519,D4B
520,Q3B
521,D5B
522,DSEXT
523,S2B
523,HSTR
523,VSTR
524,DSEXT
525,D6Ba
526,BPM
527,D6Bb
528,BB
529,D4A
530,Q2AB
531,D3Aa
532,BPM
533,D3Ab
534,DSEXT
535,S2A
535,SQUAD
535,HSTR
535,VSTR
536,DSEXT
537,D2A
538,Q1AB
539,D1Aa
540,BPM
541,D1Ab
542,DSEXT
543,S1A
543,HSTR
543,VSTR
544,DSEXT
545,D1A
546,Q1AB
547,D2A
548,DSEXT
549,S2A
549,SQUAD
549,HSTR
549,VSTR
550,DSEXT
551,D3A
552,Q2AB
553,D4Aa
554,BPM
555,D4Ab
556,BB
557,D6B
558,DSEXT
559,S2B
559,HSTR
559,VSTR
560,DSEXT
561,D5B
562,Q3B
563,D4Ba
564,BPM
565,D4Bb
566,Q2B
567,D3B
568,DSEXT
569,S1B
569,SQUAD
569,HSTR
569,VSTR
570,DSEXT
571,D2B
572,Q1B
573,KD1
574,BPM
575,DBPM
576,DRIFT
577,DRIFT
578,HCHICA
579,DRIFT
580,DRIFT
581,DRIFT
582,HTRIM
583,VTRIM
584,DRIFT
585,U23b
586,source
587,U23b
588,DRIFT
589,HTRIM
590,VTRIM
591,DRIFT
592,DRIFT
593,DRIFT
594,HCHICA
595,DRIFT
596,DRIFT
597,DRIFT
598,HCHICA
599,DRIFT
600,DRIFT
601,DBPM
602,BPM
603,KD1
604,Q1B
605,D2B
606,DSEXT
607,S1B
607,SQUAD
607,HSTR
607,VSTR
608,DSEXT
609,D3B
610,Q2B
611,D4B
612,Q3B
613,D5B
614,DSEXT
615,S2B
615,HSTR
615,VSTR
616,DSEXT
617,D6Ba
618,BPM
619,D6Bb
620,BB
621,D4A
622,Q2AB
623,D3Aa
624,BPM
625,D3Ab
626,DSEXT
627,S2A
627,SQUAD
627,HSTR
627,VSTR
628,DSEXT
629,D2A
630,Q1AB
631,D1Aa
632,BPM
633,D1Ab
634,DSEXT
635,S1A
635,HSTR
635,VSTR
636,DSEXT
637,D1A
638,Q1AB
639,D2A
640,DSEXT
641,S2A
641,SQUAD
641,HSTR
641,VSTR
642,DSEXT
643,D3A
644,Q2AB
645,D4Aa
646,BPM
647,D4Ab
648,source
649,BB
650,D6B
651,DSEXT
652,S2B
652,HSTR
652,VSTR
653,DSEXT
654,D5B
655,Q3B
656,D4Ba
657,BPM
658,D4Bb
659,Q2B
660,D3B
661,DSEXT
662,S1B
662,SQUAD
662,HSTR
662,VSTR
663,DSEXT
664,D2B
665,Q1B
666,KD1
667,BPM
668,DBPM
669,DRIFT
670,HTRIM
671,VTRIM
672,DRIFT
673,DRIFT
674,source
675,DRIFT
676,DRIFT
677,HTRIM
678,VTRIM
679,DRIFT
680,DBPM
681,BPM
682,KD1
683,Q1B
684,D2B
685,DSEXT
686,S1C
686,SQUAD
686,HSTR
686,VSTR
687,DSEXT
688,D3B
689,Q2B
690,D4B
691,Q3B
692,D5B
693,DSEXT
694,S2C
694,HSTR
694,VSTR
695,DSEXT
696,D6Ba
697,BPM
698,D6Bb
699,BB
700,D4A
701,Q2AB
702,D3Aa
703,BPM
704,D3Ab
705,DSEXT
706,S2A
706,SQUAD
706,HSTR
706,VSTR
707,DSEXT
708,D2A
709,Q1AB
710,D1Aa
711,BPM
712,D1Ab
713,DSEXT
714,S1A
714,HSTR
714,VSTR
715,DSEXT
716,D1A
717,Q1AD
718,D2A
719,DSEXT
720,S2A
720,SQUAD
720,HSTR
720,VSTR
721,DSEXT
722,D3A
723,Q2AD
724,D4Aa
725,BPM
726,D4Ab
727,BB
728,D6B
729,DSEXT
730,S2D
730,HSTR
730,VSTR
731,DSEXT
732,D5B
733,Q3D
734,D4Ba
735,BPM
736,D4Bb
737,Q2D
738,D3B
739,DSEXT
740,S1D
740,SQUAD
740,HSTR
740,VSTR
741,DSEXT
742,D2B
743,Q1D
744,D09_1
745,QM09
746,D09_2
747,DRIFT
748,HCHICA
749,DRIFT
750,D09_3
751,BPM
752,DRIFT
753,HTRIM
754,VTRIM
755,DRIFT
756,DRIFT
757,source
758,DRIFT
759,DRIFT
760,HTRIM
761,VTRIM
762,DRIFT
763,BPM
764,D09_5
764,HSTR
764,VSTR
765,D09_6
766,DRIFT
767,HCHICA
768,DRIFT
769,D09_7
770,QM09
771,D09_8
772,QM09
773,D09_9
774,BPM
775,D09_10
775,HSTR
775,VSTR
776,DRIFT
777,HTRIM
778,VTRIM
779,DRIFT
780,DRIFT
781,source
782,DRIFT
783,DRIFT
784,HTRIM
785,VTRIM
786,DRIFT
787,BPM
788,D09_12
789,DRIFT
790,HCHICA
791,DRIFT
792,D09_13
793,QM09
794,D09_14
795,Q1D
796,D2B
797,DSEXT
798,S1D
798,SQUAD
798,HSTR
798,VSTR
799,DSEXT
800,D3B
801,Q2D
802,D4B
803,Q3D
804,D5B
805,DSEXT
806,S2D
806,HSTR
806,VSTR
807,DSEXT
808,D6Ba
809,BPM
810,D6Bb
811,BB
812,D4A
813,Q2AD
814,D3Aa
815,BPM
816,D3Ab
817,DSEXT
818,S2A
818,SQUAD
818,HSTR
818,VSTR
819,DSEXT
820,D2A
821,Q1AD
822,D1Aa
823,BPM
824,D1Ab
825,DSEXT
826,S1A
826,HSTR
826,VSTR
827,DSEXT
828,D1A
829,Q1AB
830,D2A
831,DSEXT
832,S2A
832,SQUAD
832,HSTR
832,VSTR
833,DSEXT
834,D3A
835,Q2AB
836,D4Aa
837,BPM
838,D4Ab
839,BB
840,D6B
841,DSEXT
842,S2C
842,HSTR
842,VSTR
843,DSEXT
844,D5B
845,Q3B
846,D4Ba
847,BPM
848,D4Bb
849,Q2B
850,D3B
851,DSEXT
852,S1C
852,SQUAD
852,HSTR
852,VSTR
853,DSEXT
854,D2B
855,Q1B
856,D10_1
857,BPM
858,D10_2
859,DRIFT
860,HCHICA
861,DRIFT
862,D10_3
863,DRIFT
864,HCHICA
865,DRIFT
866,D10_4
867,DRIFT
868,HTRIM
869,VTRIM
870,DRIFT
