el_id,family
368,VSTR
369,dsm_12
370,A2N
371,dsm_13
372,O1X
373,dsm_14
374,BPM
375,dsm_15
376,HFCM
377,VFCM
378,dsm_16
379,S4A
379,SQUAD
379,HSTR
379,VSTR
380,dsm_17
381,Q4N
382,dsm_18
383,DL2_1
384,DL2_2
385,DL2_3
386,DL2_4
387,DL2_5
388,dsm_19
389,S5X
389,SQUAD
389,HSTR
389,VSTR
390,dsm_20
391,HFCM
392,VFCM
393,dsm_21
394,BPM
395,dsm_22
396,Q5N
397,dsm_23
398,DQ1
399,dsm_24
400,Q6N
401,dsm_25
402,S6X
402,SQUAD
402,HSTR
402,VSTR
403,GE
404,dsm_26
405,BPM
406,SE
407,dsm_27
408,source
409,MS
410,dms_27
411,SE
412,BPM
413,dms_26
414,HFCM
415,VFCM
416,dms_25
417,GS
418,S6X
418,SQUAD
418,HSTR
418,VSTR
419,dms_24
420,Q6N
421,dms_23
422,DQ1
423,dms_22
424,Q5N
425,dms_21
426,BPM
427,dms_20
428,S5X
428,SQUAD
428,HSTR
428,VSTR
429,dms_19
430,DL3_5
431,DL3_4
432,DL3_3
433,DL3_2
434,DL3_1
435,dms_18
436,Q4N
437,dms_17
438,S4A
438,SQUAD
438,HSTR
438,VSTR
439,dms_16
440,BPM
441,dms_15
442,HFCM
443,VFCM
444,dms_14
445,O1X
446,dms_13
447,A2N
448,dms_12
449,S3A
449,SQUAD
449,HSTR
449,VSTR
450,dms_11
451,A1N
452,dms_10
453,HFCM
454,VFCM
455,dms_09
456,BPM
457,dms_08
458,S2A
458,SQUAD
458,HSTR
458,VSTR
459,dms_07
460,Q3N
461,dms_06
462,DL4_1
463,DL4_2
464,DL4_3
465,DL4_4
466,DL4_5
467,dms_05
468,Q2N
469,dms_04
470,S1X
470,SQUAD
470,HSTR
470,VSTR
471,dms_03
472,Q1N
473,GE
474,dms_02
475,BPM
476,SE
477,AP
478,I04_1drift
479,DRIFT
480,HCHICA
481,DRIFT
482,I04_1drift
483,AP
484,AP_I04
485,HTRIM
486,VTRIM
487,I04
488,HTRIM
489,VTRIM
490,AP_I04
491,AP
492,I04_1drift
493,DRIFT
494,HCHICA
495,DRIFT
496,I04_1drift
497,DRIFT
498,HCHICA
499,DRIFT
500,I04_1drift
501,AP
502,SE
503,BPM
504,dsm_02
505,HFCM
506,VFCM
507,dsm_03
508,GS
509,Q1N
510,dsm_04
511,S1X
511,SQUAD
511,HSTR
511,VSTR
512,dsm_05
513,Q2N
514,dsm_06
515,DL1_5
516,DL1_4
517,DL1_3
518,DL1_2
519,DL1_1
520,dsm_07
521,Q3N
522,dsm_08
523,S2A
523,SQUAD
523,HSTR
523,VSTR
524,dsm_09
525,BPM
526,dsm_10
527,A1N
528,dsm_11
529,S3A
529,SQUAD
529,HSTR
529,VSTR
530,dsm_12
531,A2N
532,dsm_13
533,O1X
534,dsm_14
535,BPM
536,dsm_15
537,HFCM
538,VFCM
539,dsm_16
540,S4A
540,SQUAD
540,HSTR
540,VSTR
541,dsm_17
542,Q4N
543,dsm_18
544,DL2_1
545,DL2_2
546,DL2_3
547,DL2_4
548,DL2_5
549,dsm_19
550,S5X
550,SQUAD
550,HSTR
550,VSTR
551,dsm_20
552,HFCM
553,VFCM
554,dsm_21
555,BPM
556,dsm_22
557,Q5N
558,dsm_23
559,DQ1
