el_id,name,field,get_pv,set_pv
2146,SR13C-DI-EBPM-10,y_fofb_disabled,SR13C-PC-VBPM-10:FAST:DISABLED,
2146,SR13C-DI-EBPM-10,y_sofb_disabled,SR13C-PC-VBPM-10:SLOW:DISABLED,
2148,SR13A-PC-S2A-11,b2,SR13A-PC-S2A-11:I,SR13A-PC-S2A-11:SETI
2148,SR13A-PC-HSTR-11,x_kick,SR13A-PC-HSTR-11:I,SR13A-PC-HSTR-11:SETI
2148,SR13A-PC-HSTR-11,h_fofb_disabled,SR13A-PC-HSTR-11:FAST:DISABLED,
2148,SR13A-PC-HSTR-11,h_sofb_disabled,SR13A-PC-HSTR-11:SLOW:DISABLED,
2148,SR13A-PC-VSTR-11,y_kick,SR13A-PC-VSTR-11:I,SR13A-PC-VSTR-11:SETI
2148,SR13A-PC-VSTR-11,v_fofb_disabled,SR13A-PC-VSTR-11:FAST:DISABLED,
2148,SR13A-PC-VSTR-11,v_sofb_disabled,SR13A-PC-VSTR-11:SLOW:DISABLED,
2150,SR13A-PC-Q3N-15,b1,SR13A-PC-Q3N-15:I,SR13A-PC-Q3N-15:SETI
2152,SR13-PC-DL4,b0,SR13-PC-DL4:I,SR13-PC-DL4:SETI
2153,SR13-PC-DL4,b0,SR13-PC-DL4:I,SR13-PC-DL4:SETI
2154,SR13-PC-DL4,b0,SR13-PC-DL4:I,SR13-PC-DL4:SETI
2155,SR13-PC-DL4,b0,SR13-PC-DL4:I,SR13-PC-DL4:SETI
2156,SR13-PC-DL4,b0,SR13-PC-DL4:I,SR13-PC-DL4:SETI
2158,SR13A-PC-Q2N-16,b1,SR13A-PC-Q2N-16:I,SR13A-PC-Q2N-16:SETI
2160,SR13A-PC-S1X-12,b2,SR13A-PC-S1X-12:I,SR13A-PC-S1X-12:SETI
2160,SR13A-PC-HSTR-12,x_kick,SR13A-PC-HSTR-12:I,SR13A-PC-HSTR-12:SETI
2160,SR13A-PC-HSTR-12,h_fofb_disabled,SR13A-PC-HSTR-12:FAST:DISABLED,
2160,SR13A-PC-HSTR-12,h_sofb_disabled,SR13A-PC-HSTR-12:SLOW:DISABLED,
2160,SR13A-PC-VSTR-12,y_kick,SR13A-PC-VSTR-12:I,SR13A-PC-VSTR-12:SETI
2160,SR13A-PC-VSTR-12,v_fofb_disabled,SR13A-PC-VSTR-12:FAST:DISABLED,
2160,SR13A-PC-VSTR-12,v_sofb_disabled,SR13A-PC-VSTR-12:SLOW:DISABLED,
2162,SR13A-PC-Q1N-17,b1,SR13A-PC-Q1N-17:I,SR13A-PC-Q1N-17:SETI
2165,SR13C-DI-EBPM-11,x,SR13C-DI-EBPM-11:SA:X,
2165,SR13C-DI-EBPM-11,y,SR13C-DI-EBPM-11:SA:Y,
2165,SR13C-DI-EBPM-11,enabled,SR13C-DI-EBPM-11:CF:ENABLED_S,
2165,SR13C-DI-EBPM-11,x_fofb_disabled,SR13C-PC-HBPM-11:FAST:DISABLED,
2165,SR13C-DI-EBPM-11,x_sofb_disabled,SR13C-PC-HBPM-11:SLOW:DISABLED,
2165,SR13C-DI-EBPM-11,y_fofb_disabled,SR13C-PC-VBPM-11:FAST:DISABLED,
2165,SR13C-DI-EBPM-11,y_sofb_disabled,SR13C-PC-VBPM-11:SLOW:DISABLED,
2171,SR14I-PC-HSTR-11,x_kick,SR14I-PC-HSTR-11:I,SR14I-PC-HSTR-11:SETI
2172,SR14I-PC-VSTR-11,y_kick,SR14I-PC-VSTR-11:I,SR14I-PC-VSTR-11:SETI
2174,SR14I-PC-HSTR-12,x_kick,SR14I-PC-HSTR-12:I,SR14I-PC-HSTR-12:SETI
2175,SR14I-PC-VSTR-12,y_kick,SR14I-PC-VSTR-12:I,SR14I-PC-VSTR-12:SETI
2181,SR14C-DI-EBPM-01,x,SR14C-DI-EBPM-01:SA:X,
2181,SR14C-DI-EBPM-01,y,SR14C-DI-EBPM-01:SA:Y,
2181,SR14C-DI-EBPM-01,enabled,SR14C-DI-EBPM-01:CF:ENABLED_S,
2181,SR14C-DI-EBPM-01,x_fofb_disabled,SR14C-PC-HBPM-01:FAST:DISABLED,
2181,SR14C-DI-EBPM-01,x_sofb_disabled,SR14C-PC-HBPM-01:SLOW:DISABLED,
2181,SR14C-DI-EBPM-01,y_fofb_disabled,SR14C-PC-VBPM-01:FAST:DISABLED,
2181,SR14C-DI-EBPM-01,y_sofb_disabled,SR14C-PC-VBPM-01:SLOW:DISABLED,
2187,SR14A-PC-Q1N-01,b1,SR14A-PC-Q1N-01:I,SR14A-PC-Q1N-01:SETI
2189,SR14A-PC-S1X-01,b2,SR14A-PC-S1X-01:I,SR14A-PC-S1X-01:SETI
2189,SR14A-PC-HSTR-01,x_kick,SR14A-PC-HSTR-01:I,SR14A-PC-HSTR-01:SETI
2189,SR14A-PC-HSTR-01,h_fofb_disabled,SR14A-PC-HSTR-01:FAST:DISABLED,
2189,SR14A-PC-HSTR-01,h_sofb_disabled,SR14A-PC-HSTR-01:SLOW:DISABLED,
2189,SR14A-PC-VSTR-01,y_kick,SR14A-PC-VSTR-01:I,SR14A-PC-VSTR-01:SETI
2189,SR14A-PC-VSTR-01,v_fofb_disabled,SR14A-PC-VSTR-01:FAST:DISABLED,
2189,SR14A-PC-VSTR-01,v_sofb_disabled,SR14A-PC-VSTR-01:SLOW:DISABLED,
2191,SR14A-PC-Q2N-02,b1,SR14A-PC-Q2N-02:I,SR14A-PC-Q2N-02:SETI
2193,SR14-PC-DL1,b0,SR14-PC-DL1:I,SR14-PC-DL1:SETI
2194,SR14-PC-DL1,b0,SR14-PC-DL1:I,SR14-PC-DL1:SETI
2195,SR14-PC-DL1,b0,SR14-PC-DL1:I,SR14-PC-DL1:SETI
2196,SR14-PC-DL1,b0,SR14-PC-DL1:I,SR14-PC-DL1:SETI
2197,SR14-PC-DL1,b0,SR14-PC-DL1:I,SR14-PC-DL1:SETI
2199,SR14A-PC-Q3N-03,b1,SR14A-PC-Q3N-03:I,SR14A-PC-Q3N-03:SETI
2201,SR14A-PC-S2A-02,b2,SR14A-PC-S2A-02:I,SR14A-PC-S2A-02:SETI
2201,SR14A-PC-HSTR-02,x_kick,SR14A-PC-HSTR-02:I,SR14A-PC-HSTR-02:SETI
2201,SR14A-PC-HSTR-02,h_fofb_disabled,SR14A-PC-HSTR-02:FAST:DISABLED,
2201,SR14A-PC-HSTR-02,h_sofb_disabled,SR14A-PC-HSTR-02:SLOW:DISABLED,
2201,SR14A-PC-VSTR-02,y_kick,SR14A-PC-VSTR-02:I,SR14A-PC-VSTR-02:SETI
2201,SR14A-PC-VSTR-02,v_fofb_disabled,SR14A-PC-VSTR-02:FAST:DISABLED,
2201,SR14A-PC-VSTR-02,v_sofb_disabled,SR14A-PC-VSTR-02:SLOW:DISABLED,
2203,SR14C-DI-EBPM-02,x,SR14C-DI-EBPM-02:SA:X,
2203,SR14C-DI-EBPM-02,y,SR14C-DI-EBPM-02:SA:Y,
2203,SR14C-DI-EBPM-02,enabled,SR14C-DI-EBPM-02:CF:ENABLED_S,
2203,SR14C-DI-EBPM-02,x_fofb_disabled,SR14C-PC-HBPM-02:FAST:DISABLED,
2203,SR14C-DI-EBPM-02,x_sofb_disabled,SR14C-PC-HBPM-02:SLOW:DISABLED,
2203,SR14C-DI-EBPM-02,y_fofb_disabled,SR14C-PC-VBPM-02:FAST:DISABLED,
2203,SR14C-DI-EBPM-02,y_sofb_disabled,SR14C-PC-VBPM-02:SLOW:DISABLED,
2205,SR14A-PC-A1N-04,b0,SR14A-PC-A1N-04:I,SR14A-PC-A1N-04:SETI
2207,SR14A-PC-S3A-03,b2,SR14A-PC-S3A-03:I,SR14A-PC-S3A-03:SETI
2207,SR14A-PC-HSTR-03,x_kick,SR14A-PC-HSTR-03:I,SR14A-PC-HSTR-03:SETI
2207,SR14A-PC-HSTR-03,h_fofb_disabled,SR14A-PC-HSTR-03:FAST:DISABLED,
2207,SR14A-PC-HSTR-03,h_sofb_disabled,SR14A-PC-HSTR-03:SLOW:DISABLED,
2207,SR14A-PC-VSTR-03,y_kick,SR14A-PC-VSTR-03:I,SR14A-PC-VSTR-03:SETI
2207,SR14A-PC-VSTR-03,v_fofb_disabled,SR14A-PC-VSTR-03:FAST:DISABLED,
2207,SR14A-PC-VSTR-03,v_sofb_disabled,SR14A-PC-VSTR-03:SLOW:DISABLED,
2209,SR14A-PC-A2N-05,b0,SR14A-PC-A2N-05:I,SR14A-PC-A2N-05:SETI
2211,SR14-PC-O1X-01,b3,SR14-PC-O1X-01:I,SR14-PC-O1X-01:SETI
2213,SR14C-DI-EBPM-03,x,SR14C-DI-EBPM-03:SA:X,
2213,SR14C-DI-EBPM-03,y,SR14C-DI-EBPM-03:SA:Y,
2213,SR14C-DI-EBPM-03,enabled,SR14C-DI-EBPM-03:CF:ENABLED_S,
2213,SR14C-DI-EBPM-03,x_fofb_disabled,SR14C-PC-HBPM-03:FAST:DISABLED,
2213,SR14C-DI-EBPM-03,x_sofb_disabled,SR14C-PC-HBPM-03:SLOW:DISABLED,
