el_id,name,field,get_pv,set_pv
208,SR02A-PC-HSTR-10,x_kick,SR02A-PC-HSTR-10:I,SR02A-PC-HSTR-10:SETI
208,SR02A-PC-HSTR-10,h_fofb_disabled,SR02A-PC-HSTR-10:FAST:DISABLED,
208,SR02A-PC-HSTR-10,h_sofb_disabled,SR02A-PC-HSTR-10:SLOW:DISABLED,
208,SR02A-PC-VSTR-10,y_kick,SR02A-PC-VSTR-10:I,SR02A-PC-VSTR-10:SETI
208,SR02A-PC-VSTR-10,v_fofb_disabled,SR02A-PC-VSTR-10:FAST:DISABLED,
208,SR02A-PC-VSTR-10,v_sofb_disabled,SR02A-PC-VSTR-10:SLOW:DISABLED,
210,SR02A-PC-Q1BE-10,b1,SR02A-PC-Q1BE-10:I,SR02A-PC-Q1BE-10:SETI
218,SR02C-DI-EBPM-08,x,SR02C-DI-EBPM-08:SA:X,
218,SR02C-DI-EBPM-08,y,SR02C-DI-EBPM-08:SA:Y,
218,SR02C-DI-EBPM-08,enabled,SR02C-DI-EBPM-08:CF:ENABLED_S,
218,SR02C-DI-EBPM-08,x_fofb_disabled,SR02C-PC-HBPM-08:FAST:DISABLED,
218,SR02C-DI-EBPM-08,x_sofb_disabled,SR02C-PC-HBPM-08:SLOW:DISABLED,
218,SR02C-DI-EBPM-08,y_fofb_disabled,SR02C-PC-VBPM-08:FAST:DISABLED,
218,SR02C-DI-EBPM-08,y_sofb_disabled,SR02C-PC-VBPM-08:SLOW:DISABLED,
226,SR03I-PC-HSTR-11,x_kick,SR03I-PC-HSTR-11:I,SR03I-PC-HSTR-11:SETI
227,SR03I-PC-VSTR-11,y_kick,SR03I-PC-VSTR-11:I,SR03I-PC-VSTR-11:SETI
233,SR03I-PC-HSTR-12,x_kick,SR03I-PC-HSTR-12:I,SR03I-PC-HSTR-12:SETI
234,SR03I-PC-VSTR-12,y_kick,SR03I-PC-VSTR-12:I,SR03I-PC-VSTR-12:SETI
246,SR03C-DI-EBPM-01,x,SR03C-DI-EBPM-01:SA:X,
246,SR03C-DI-EBPM-01,y,SR03C-DI-EBPM-01:SA:Y,
246,SR03C-DI-EBPM-01,enabled,SR03C-DI-EBPM-01:CF:ENABLED_S,
246,SR03C-DI-EBPM-01,x_fofb_disabled,SR03C-PC-HBPM-01:FAST:DISABLED,
246,SR03C-DI-EBPM-01,x_sofb_disabled,SR03C-PC-HBPM-01:SLOW:DISABLED,
246,SR03C-DI-EBPM-01,y_fofb_disabled,SR03C-PC-VBPM-01:FAST:DISABLED,
246,SR03C-DI-EBPM-01,y_sofb_disabled,SR03C-PC-VBPM-01:SLOW:DISABLED,
248,SR03A-PC-Q1B-01,b1,SR03A-PC-Q1B-01:I,SR03A-PC-Q1B-01:SETI
251,SR03A-PC-S1B-01,b2,SR03A-PC-S1B-01:I,SR03A-PC-S1B-01:SETI
251,SR03A-PC-HSTR-01,x_kick,SR03A-PC-HSTR-01:I,SR03A-PC-HSTR-01:SETI
