el_id,name,field,get_pv,set_pv
1035,SR11C-DI-EBPM-03,y_fofb_disabled,SR11C-PC-VBPM-03:FAST:DISABLED,
1035,SR11C-DI-EBPM-03,y_sofb_disabled,SR11C-PC-VBPM-03:SLOW:DISABLED,
1038,SR11A-PC-S2A-03,b2,SR11A-PC-S2A-03:I,SR11A-PC-S2A-03:SETI
1038,SR11A-PC-HSTR-03,x_kick,SR11A-PC-HSTR-03:I,SR11A-PC-HSTR-03:SETI
1038,SR11A-PC-HSTR-03,h_fofb_disabled,SR11A-PC-HSTR-03:FAST:DISABLED,
1038,SR11A-PC-HSTR-03,h_sofb_disabled,SR11A-PC-HSTR-03:SLOW:DISABLED,
1038,SR11A-PC-VSTR-03,y_kick,SR11A-PC-VSTR-03:I,SR11A-PC-VSTR-03:SETI
1038,SR11A-PC-VSTR-03,v_fofb_disabled,SR11A-PC-VSTR-03:FAST:DISABLED,
1038,SR11A-PC-VSTR-03,v_sofb_disabled,SR11A-PC-VSTR-03:SLOW:DISABLED,
1041,SR11A-PC-Q1AB-05,b1,SR11A-PC-Q1AB-05:I,SR11A-PC-Q1AB-05:SETI
1043,SR11C-DI-EBPM-04,x,SR11C-DI-EBPM-04:SA:X,
1043,SR11C-DI-EBPM-04,y,SR11C-DI-EBPM-04:SA:Y,
1043,SR11C-DI-EBPM-04,enabled,SR11C-DI-EBPM-04:CF:ENABLED_S,
1043,SR11C-DI-EBPM-04,x_fofb_disabled,SR11C-PC-HBPM-04:FAST:DISABLED,
1043,SR11C-DI-EBPM-04,x_sofb_disabled,SR11C-PC-HBPM-04:SLOW:DISABLED,
1043,SR11C-DI-EBPM-04,y_fofb_disabled,SR11C-PC-VBPM-04:FAST:DISABLED,
1043,SR11C-DI-EBPM-04,y_sofb_disabled,SR11C-PC-VBPM-04:SLOW:DISABLED,
1046,SR11A-PC-S1A-04,b2,SR11A-PC-S1A-04:I,SR11A-PC-S1A-04:SETI
1046,SR11A-PC-HSTR-04,x_kick,SR11A-PC-HSTR-04:I,SR11A-PC-HSTR-04:SETI
1046,SR11A-PC-HSTR-04,h_fofb_disabled,SR11A-PC-HSTR-04:FAST:DISABLED,
