id,field,get_pv,set_pv,enable_pv,enable_value
1317,x,SR14C-DI-EBPM-07:SA:X,,SR14C-DI-EBPM-07:CF:ENABLED_S,1
1317,y,SR14C-DI-EBPM-07:SA:Y,,SR14C-DI-EBPM-07:CF:ENABLED_S,1
1331,x,SR15C-DI-EBPM-01:SA:X,,SR15C-DI-EBPM-01:CF:ENABLED_S,1
1331,y,SR15C-DI-EBPM-01:SA:Y,,SR15C-DI-EBPM-01:CF:ENABLED_S,1
1333,b1,SR15A-PC-Q1B-01:I,SR15A-PC-Q1B-01:SETI,,
1336,b2,SR15A-PC-S1B-01:I,SR15A-PC-S1B-01:SETI,,
1336,b0,SR15A-PC-HSTR-01:I,SR15A-PC-HSTR-01:SETI,,
1336,a0,SR15A-PC-VSTR-01:I,SR15A-PC-VSTR-01:SETI,,
1339,b1,SR15A-PC-Q2B-02:I,SR15A-PC-Q2B-02:SETI,,
1341,b1,SR15A-PC-Q3B-03:I,SR15A-PC-Q3B-03:SETI,,
1344,b2,SR15A-PC-S2B-02:I,SR15A-PC-S2B-02:SETI,,
1344,b0,SR15A-PC-HSTR-02:I,SR15A-PC-HSTR-02:SETI,,
1344,a0,SR15A-PC-VSTR-02:I,SR15A-PC-VSTR-02:SETI,,
1347,x,SR15C-DI-EBPM-02:SA:X,,SR15C-DI-EBPM-02:CF:ENABLED_S,1
1347,y,SR15C-DI-EBPM-02:SA:Y,,SR15C-DI-EBPM-02:CF:ENABLED_S,1
1349,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1351,b1,SR15A-PC-Q2AB-04:I,SR15A-PC-Q2AB-04:SETI,,
1353,x,SR15C-DI-EBPM-03:SA:X,,SR15C-DI-EBPM-03:CF:ENABLED_S,1
1353,y,SR15C-DI-EBPM-03:SA:Y,,SR15C-DI-EBPM-03:CF:ENABLED_S,1
1356,b2,SR15A-PC-S2A-03:I,SR15A-PC-S2A-03:SETI,,
1356,b0,SR15A-PC-HSTR-03:I,SR15A-PC-HSTR-03:SETI,,
1356,a0,SR15A-PC-VSTR-03:I,SR15A-PC-VSTR-03:SETI,,
1359,b1,SR15A-PC-Q1AB-05:I,SR15A-PC-Q1AB-05:SETI,,
1361,x,SR15C-DI-EBPM-04:SA:X,,SR15C-DI-EBPM-04:CF:ENABLED_S,1
1361,y,SR15C-DI-EBPM-04:SA:Y,,SR15C-DI-EBPM-04:CF:ENABLED_S,1
1364,b2,SR15A-PC-S1A-04:I,SR15A-PC-S1A-04:SETI,,
1364,b0,SR15A-PC-HSTR-04:I,SR15A-PC-HSTR-04:SETI,,
1364,a0,SR15A-PC-VSTR-04:I,SR15A-PC-VSTR-04:SETI,,
1367,b1,SR15A-PC-Q1AB-06:I,SR15A-PC-Q1AB-06:SETI,,
1370,b2,SR15A-PC-S2A-05:I,SR15A-PC-S2A-05:SETI,,
1370,b0,SR15A-PC-HSTR-05:I,SR15A-PC-HSTR-05:SETI,,
1370,a0,SR15A-PC-VSTR-05:I,SR15A-PC-VSTR-05:SETI,,
1373,b1,SR15A-PC-Q2AB-07:I,SR15A-PC-Q2AB-07:SETI,,
1375,x,SR15C-DI-EBPM-05:SA:X,,SR15C-DI-EBPM-05:CF:ENABLED_S,1
1375,y,SR15C-DI-EBPM-05:SA:Y,,SR15C-DI-EBPM-05:CF:ENABLED_S,1
1377,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1380,b2,SR15A-PC-S2B-06:I,SR15A-PC-S2B-06:SETI,,
1380,b0,SR15A-PC-HSTR-06:I,SR15A-PC-HSTR-06:SETI,,
1380,a0,SR15A-PC-VSTR-06:I,SR15A-PC-VSTR-06:SETI,,
1383,b1,SR15A-PC-Q3B-08:I,SR15A-PC-Q3B-08:SETI,,
1385,x,SR15C-DI-EBPM-06:SA:X,,SR15C-DI-EBPM-06:CF:ENABLED_S,1
1385,y,SR15C-DI-EBPM-06:SA:Y,,SR15C-DI-EBPM-06:CF:ENABLED_S,1
1387,b1,SR15A-PC-Q2B-09:I,SR15A-PC-Q2B-09:SETI,,
1390,b2,SR15A-PC-S1B-07:I,SR15A-PC-S1B-07:SETI,,
1390,b0,SR15A-PC-HSTR-07:I,SR15A-PC-HSTR-07:SETI,,
1390,a0,SR15A-PC-VSTR-07:I,SR15A-PC-VSTR-07:SETI,,
1393,b1,SR15A-PC-Q1B-10:I,SR15A-PC-Q1B-10:SETI,,
1395,x,SR15C-DI-EBPM-07:SA:X,,SR15C-DI-EBPM-07:CF:ENABLED_S,1
1395,y,SR15C-DI-EBPM-07:SA:Y,,SR15C-DI-EBPM-07:CF:ENABLED_S,1
1411,x,SR16C-DI-EBPM-01:SA:X,,SR16C-DI-EBPM-01:CF:ENABLED_S,1
1411,y,SR16C-DI-EBPM-01:SA:Y,,SR16C-DI-EBPM-01:CF:ENABLED_S,1
1413,b1,SR16A-PC-Q1B-01:I,SR16A-PC-Q1B-01:SETI,,
1416,b2,SR16A-PC-S1C-01:I,SR16A-PC-S1C-01:SETI,,
1416,b0,SR16A-PC-HSTR-01:I,SR16A-PC-HSTR-01:SETI,,
1416,a0,SR16A-PC-VSTR-01:I,SR16A-PC-VSTR-01:SETI,,
1419,b1,SR16A-PC-Q2B-02:I,SR16A-PC-Q2B-02:SETI,,
1421,b1,SR16A-PC-Q3B-03:I,SR16A-PC-Q3B-03:SETI,,
1424,b2,SR16A-PC-S2C-02:I,SR16A-PC-S2C-02:SETI,,
1424,b0,SR16A-PC-HSTR-02:I,SR16A-PC-HSTR-02:SETI,,
1424,a0,SR16A-PC-VSTR-02:I,SR16A-PC-VSTR-02:SETI,,
1427,x,SR16C-DI-EBPM-02:SA:X,,SR16C-DI-EBPM-02:CF:ENABLED_S,1
1427,y,SR16C-DI-EBPM-02:SA:Y,,SR16C-DI-EBPM-02:CF:ENABLED_S,1
1429,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1431,b1,SR16A-PC-Q2AB-04:I,SR16A-PC-Q2AB-04:SETI,,
1433,x,SR16C-DI-EBPM-03:SA:X,,SR16C-DI-EBPM-03:CF:ENABLED_S,1
1433,y,SR16C-DI-EBPM-03:SA:Y,,SR16C-DI-EBPM-03:CF:ENABLED_S,1
1436,b2,SR16A-PC-S2A-03:I,SR16A-PC-S2A-03:SETI,,
1436,b0,SR16A-PC-HSTR-03:I,SR16A-PC-HSTR-03:SETI,,
1436,a0,SR16A-PC-VSTR-03:I,SR16A-PC-VSTR-03:SETI,,
1439,b1,SR16A-PC-Q1AB-05:I,SR16A-PC-Q1AB-05:SETI,,
1441,x,SR16C-DI-EBPM-04:SA:X,,SR16C-DI-EBPM-04:CF:ENABLED_S,1
1441,y,SR16C-DI-EBPM-04:SA:Y,,SR16C-DI-EBPM-04:CF:ENABLED_S,1
1444,b2,SR16A-PC-S1A-04:I,SR16A-PC-S1A-04:SETI,,
1444,b0,SR16A-PC-HSTR-04:I,SR16A-PC-HSTR-04:SETI,,
1444,a0,SR16A-PC-VSTR-04:I,SR16A-PC-VSTR-04:SETI,,
1447,b1,SR16A-PC-Q1AD-06:I,SR16A-PC-Q1AD-06:SETI,,
1450,b2,SR16A-PC-S2A-05:I,SR16A-PC-S2A-05:SETI,,
1450,b0,SR16A-PC-HSTR-05:I,SR16A-PC-HSTR-05:SETI,,
1450,a0,SR16A-PC-VSTR-05:I,SR16A-PC-VSTR-05:SETI,,
1453,b1,SR16A-PC-Q2AD-07:I,SR16A-PC-Q2AD-07:SETI,,
1455,x,SR16C-DI-EBPM-05:SA:X,,SR16C-DI-EBPM-05:CF:ENABLED_S,1
1455,y,SR16C-DI-EBPM-05:SA:Y,,SR16C-DI-EBPM-05:CF:ENABLED_S,1
1458,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1461,b2,SR16A-PC-S2D-06:I,SR16A-PC-S2D-06:SETI,,
1461,b0,SR16A-PC-HSTR-06:I,SR16A-PC-HSTR-06:SETI,,
1461,a0,SR16A-PC-VSTR-06:I,SR16A-PC-VSTR-06:SETI,,
1464,b1,SR16A-PC-Q3D-08:I,SR16A-PC-Q3D-08:SETI,,
1466,x,SR16C-DI-EBPM-06:SA:X,,SR16C-DI-EBPM-06:CF:ENABLED_S,1
1466,y,SR16C-DI-EBPM-06:SA:Y,,SR16C-DI-EBPM-06:CF:ENABLED_S,1
1468,b1,SR16A-PC-Q2D-09:I,SR16A-PC-Q2D-09:SETI,,
1471,b2,SR16A-PC-S1D-07:I,SR16A-PC-S1D-07:SETI,,
1471,b0,SR16A-PC-HSTR-07:I,SR16A-PC-HSTR-07:SETI,,
1471,a0,SR16A-PC-VSTR-07:I,SR16A-PC-VSTR-07:SETI,,
1474,b1,SR16A-PC-Q1D-10:I,SR16A-PC-Q1D-10:SETI,,
1476,x,SR16C-DI-EBPM-07:SA:X,,SR16C-DI-EBPM-07:CF:ENABLED_S,1
1476,y,SR16C-DI-EBPM-07:SA:Y,,SR16C-DI-EBPM-07:CF:ENABLED_S,1
1478,f,LI-RF-MOSC-01:FREQ,LI-RF-MOSC-01:FREQ_SET,,
1481,x,SR17C-DI-EBPM-01:SA:X,,SR17C-DI-EBPM-01:CF:ENABLED_S,1
1481,y,SR17C-DI-EBPM-01:SA:Y,,SR17C-DI-EBPM-01:CF:ENABLED_S,1
1483,b1,SR17A-PC-Q1D-01:I,SR17A-PC-Q1D-01:SETI,,
1486,b2,SR17A-PC-S1D-01:I,SR17A-PC-S1D-01:SETI,,
1486,b0,SR17A-PC-HSTR-01:I,SR17A-PC-HSTR-01:SETI,,
1486,a0,SR17A-PC-VSTR-01:I,SR17A-PC-VSTR-01:SETI,,
1489,b1,SR17A-PC-Q2D-02:I,SR17A-PC-Q2D-02:SETI,,
1491,b1,SR17A-PC-Q3D-03:I,SR17A-PC-Q3D-03:SETI,,
1494,b2,SR17A-PC-S2D-02:I,SR17A-PC-S2D-02:SETI,,
1494,b0,SR17A-PC-HSTR-02:I,SR17A-PC-HSTR-02:SETI,,
1494,a0,SR17A-PC-VSTR-02:I,SR17A-PC-VSTR-02:SETI,,
1497,x,SR17C-DI-EBPM-02:SA:X,,SR17C-DI-EBPM-02:CF:ENABLED_S,1
1497,y,SR17C-DI-EBPM-02:SA:Y,,SR17C-DI-EBPM-02:CF:ENABLED_S,1
1499,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1501,b1,SR17A-PC-Q2AD-04:I,SR17A-PC-Q2AD-04:SETI,,
1503,x,SR17C-DI-EBPM-03:SA:X,,SR17C-DI-EBPM-03:CF:ENABLED_S,1
1503,y,SR17C-DI-EBPM-03:SA:Y,,SR17C-DI-EBPM-03:CF:ENABLED_S,1
1506,b2,SR17A-PC-S2A-03:I,SR17A-PC-S2A-03:SETI,,
1506,b0,SR17A-PC-HSTR-03:I,SR17A-PC-HSTR-03:SETI,,
1506,a0,SR17A-PC-VSTR-03:I,SR17A-PC-VSTR-03:SETI,,
1509,b1,SR17A-PC-Q1AD-05:I,SR17A-PC-Q1AD-05:SETI,,
1511,x,SR17C-DI-EBPM-04:SA:X,,SR17C-DI-EBPM-04:CF:ENABLED_S,1
1511,y,SR17C-DI-EBPM-04:SA:Y,,SR17C-DI-EBPM-04:CF:ENABLED_S,1
1514,b2,SR17A-PC-S1A-04:I,SR17A-PC-S1A-04:SETI,,
1514,b0,SR17A-PC-HSTR-04:I,SR17A-PC-HSTR-04:SETI,,
1514,a0,SR17A-PC-VSTR-04:I,SR17A-PC-VSTR-04:SETI,,
1517,b1,SR17A-PC-Q1AB-06:I,SR17A-PC-Q1AB-06:SETI,,
1520,b2,SR17A-PC-S2A-05:I,SR17A-PC-S2A-05:SETI,,
1520,b0,SR17A-PC-HSTR-05:I,SR17A-PC-HSTR-05:SETI,,
1520,a0,SR17A-PC-VSTR-05:I,SR17A-PC-VSTR-05:SETI,,
1523,b1,SR17A-PC-Q2AB-07:I,SR17A-PC-Q2AB-07:SETI,,
1525,x,SR17C-DI-EBPM-05:SA:X,,SR17C-DI-EBPM-05:CF:ENABLED_S,1
1525,y,SR17C-DI-EBPM-05:SA:Y,,SR17C-DI-EBPM-05:CF:ENABLED_S,1
1527,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1530,b2,SR17A-PC-S2C-06:I,SR17A-PC-S2C-06:SETI,,
1530,b0,SR17A-PC-HSTR-06:I,SR17A-PC-HSTR-06:SETI,,
1530,a0,SR17A-PC-VSTR-06:I,SR17A-PC-VSTR-06:SETI,,
1533,b1,SR17A-PC-Q3B-08:I,SR17A-PC-Q3B-08:SETI,,
1535,x,SR17C-DI-EBPM-06:SA:X,,SR17C-DI-EBPM-06:CF:ENABLED_S,1
1535,y,SR17C-DI-EBPM-06:SA:Y,,SR17C-DI-EBPM-06:CF:ENABLED_S,1
1537,b1,SR17A-PC-Q2B-09:I,SR17A-PC-Q2B-09:SETI,,
1540,b2,SR17A-PC-S1C-07:I,SR17A-PC-S1C-07:SETI,,
1540,b0,SR17A-PC-HSTR-07:I,SR17A-PC-HSTR-07:SETI,,
1540,a0,SR17A-PC-VSTR-07:I,SR17A-PC-VSTR-07:SETI,,
1543,b1,SR17A-PC-Q1B-10:I,SR17A-PC-Q1B-10:SETI,,
1545,x,SR17C-DI-EBPM-07:SA:X,,SR17C-DI-EBPM-07:CF:ENABLED_S,1
1545,y,SR17C-DI-EBPM-07:SA:Y,,SR17C-DI-EBPM-07:CF:ENABLED_S,1
1561,x,SR18C-DI-EBPM-01:SA:X,,SR18C-DI-EBPM-01:CF:ENABLED_S,1
1561,y,SR18C-DI-EBPM-01:SA:Y,,SR18C-DI-EBPM-01:CF:ENABLED_S,1
1563,b1,SR18A-PC-Q1B-01:I,SR18A-PC-Q1B-01:SETI,,
1566,b2,SR18A-PC-S1B-01:I,SR18A-PC-S1B-01:SETI,,
1566,b0,SR18A-PC-HSTR-01:I,SR18A-PC-HSTR-01:SETI,,
1566,a0,SR18A-PC-VSTR-01:I,SR18A-PC-VSTR-01:SETI,,
1569,b1,SR18A-PC-Q2B-02:I,SR18A-PC-Q2B-02:SETI,,
1571,b1,SR18A-PC-Q3B-03:I,SR18A-PC-Q3B-03:SETI,,
1574,b2,SR18A-PC-S2B-02:I,SR18A-PC-S2B-02:SETI,,
1574,b0,SR18A-PC-HSTR-02:I,SR18A-PC-HSTR-02:SETI,,
1574,a0,SR18A-PC-VSTR-02:I,SR18A-PC-VSTR-02:SETI,,
1577,x,SR18C-DI-EBPM-02:SA:X,,SR18C-DI-EBPM-02:CF:ENABLED_S,1
1577,y,SR18C-DI-EBPM-02:SA:Y,,SR18C-DI-EBPM-02:CF:ENABLED_S,1
1579,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1581,b1,SR18A-PC-Q2AB-04:I,SR18A-PC-Q2AB-04:SETI,,
1583,x,SR18C-DI-EBPM-03:SA:X,,SR18C-DI-EBPM-03:CF:ENABLED_S,1
1583,y,SR18C-DI-EBPM-03:SA:Y,,SR18C-DI-EBPM-03:CF:ENABLED_S,1
1586,b2,SR18A-PC-S2A-03:I,SR18A-PC-S2A-03:SETI,,
1586,b0,SR18A-PC-HSTR-03:I,SR18A-PC-HSTR-03:SETI,,
1586,a0,SR18A-PC-VSTR-03:I,SR18A-PC-VSTR-03:SETI,,
1589,b1,SR18A-PC-Q1AB-05:I,SR18A-PC-Q1AB-05:SETI,,
1591,x,SR18C-DI-EBPM-04:SA:X,,SR18C-DI-EBPM-04:CF:ENABLED_S,1
1591,y,SR18C-DI-EBPM-04:SA:Y,,SR18C-DI-EBPM-04:CF:ENABLED_S,1
1594,b2,SR18A-PC-S1A-04:I,SR18A-PC-S1A-04:SETI,,
1594,b0,SR18A-PC-HSTR-04:I,SR18A-PC-HSTR-04:SETI,,
1594,a0,SR18A-PC-VSTR-04:I,SR18A-PC-VSTR-04:SETI,,
1597,b1,SR18A-PC-Q1AB-06:I,SR18A-PC-Q1AB-06:SETI,,
1600,b2,SR18A-PC-S2A-05:I,SR18A-PC-S2A-05:SETI,,
1600,b0,SR18A-PC-HSTR-05:I,SR18A-PC-HSTR-05:SETI,,
1600,a0,SR18A-PC-VSTR-05:I,SR18A-PC-VSTR-05:SETI,,
1603,b1,SR18A-PC-Q2AB-07:I,SR18A-PC-Q2AB-07:SETI,,
1605,x,SR18C-DI-EBPM-05:SA:X,,SR18C-DI-EBPM-05:CF:ENABLED_S,1
1605,y,SR18C-DI-EBPM-05:SA:Y,,SR18C-DI-EBPM-05:CF:ENABLED_S,1
1608,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1611,b2,SR18A-PC-S2B-06:I,SR18A-PC-S2B-06:SETI,,
1611,b0,SR18A-PC-HSTR-06:I,SR18A-PC-HSTR-06:SETI,,
1611,a0,SR18A-PC-VSTR-06:I,SR18A-PC-VSTR-06:SETI,,
1614,b1,SR18A-PC-Q3B-08:I,SR18A-PC-Q3B-08:SETI,,
1616,x,SR18C-DI-EBPM-06:SA:X,,SR18C-DI-EBPM-06:CF:ENABLED_S,1
1616,y,SR18C-DI-EBPM-06:SA:Y,,SR18C-DI-EBPM-06:CF:ENABLED_S,1
1618,b1,SR18A-PC-Q2B-09:I,SR18A-PC-Q2B-09:SETI,,
1621,b2,SR18A-PC-S1B-07:I,SR18A-PC-S1B-07:SETI,,
1621,b0,SR18A-PC-HSTR-07:I,SR18A-PC-HSTR-07:SETI,,
1621,a0,SR18A-PC-VSTR-07:I,SR18A-PC-VSTR-07:SETI,,
1624,b1,SR18A-PC-Q1B-10:I,SR18A-PC-Q1B-10:SETI,,
1626,x,SR18C-DI-EBPM-07:SA:X,,SR18C-DI-EBPM-07:CF:ENABLED_S,1
1626,y,SR18C-DI-EBPM-07:SA:Y,,SR18C-DI-EBPM-07:CF:ENABLED_S,1
1640,x,SR19C-DI-EBPM-01:SA:X,,SR19C-DI-EBPM-01:CF:ENABLED_S,1
1640,y,SR19C-DI-EBPM-01:SA:Y,,SR19C-DI-EBPM-01:CF:ENABLED_S,1
1642,b1,SR19A-PC-Q1B-01:I,SR19A-PC-Q1B-01:SETI,,
1645,b2,SR19A-PC-S1B-01:I,SR19A-PC-S1B-01:SETI,,
1645,b0,SR19A-PC-HSTR-01:I,SR19A-PC-HSTR-01:SETI,,
1645,a0,SR19A-PC-VSTR-01:I,SR19A-PC-VSTR-01:SETI,,
1648,b1,SR19A-PC-Q2B-02:I,SR19A-PC-Q2B-02:SETI,,
1650,b1,SR19A-PC-Q3B-03:I,SR19A-PC-Q3B-03:SETI,,
1653,b2,SR19A-PC-S2B-02:I,SR19A-PC-S2B-02:SETI,,
1653,b0,SR19A-PC-HSTR-02:I,SR19A-PC-HSTR-02:SETI,,
1653,a0,SR19A-PC-VSTR-02:I,SR19A-PC-VSTR-02:SETI,,
1656,x,SR19C-DI-EBPM-02:SA:X,,SR19C-DI-EBPM-02:CF:ENABLED_S,1
1656,y,SR19C-DI-EBPM-02:SA:Y,,SR19C-DI-EBPM-02:CF:ENABLED_S,1
1658,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1660,b1,SR19A-PC-Q2AB-04:I,SR19A-PC-Q2AB-04:SETI,,
1662,x,SR19C-DI-EBPM-03:SA:X,,SR19C-DI-EBPM-03:CF:ENABLED_S,1
1662,y,SR19C-DI-EBPM-03:SA:Y,,SR19C-DI-EBPM-03:CF:ENABLED_S,1
1665,b2,SR19A-PC-S2A-03:I,SR19A-PC-S2A-03:SETI,,
1665,b0,SR19A-PC-HSTR-03:I,SR19A-PC-HSTR-03:SETI,,
1665,a0,SR19A-PC-VSTR-03:I,SR19A-PC-VSTR-03:SETI,,
1668,b1,SR19A-PC-Q1AB-05:I,SR19A-PC-Q1AB-05:SETI,,
1670,x,SR19C-DI-EBPM-04:SA:X,,SR19C-DI-EBPM-04:CF:ENABLED_S,1
1670,y,SR19C-DI-EBPM-04:SA:Y,,SR19C-DI-EBPM-04:CF:ENABLED_S,1
1673,b2,SR19A-PC-S1A-04:I,SR19A-PC-S1A-04:SETI,,
1673,b0,SR19A-PC-HSTR-04:I,SR19A-PC-HSTR-04:SETI,,
1673,a0,SR19A-PC-VSTR-04:I,SR19A-PC-VSTR-04:SETI,,
1676,b1,SR19A-PC-Q1AB-06:I,SR19A-PC-Q1AB-06:SETI,,
1679,b2,SR19A-PC-S2A-05:I,SR19A-PC-S2A-05:SETI,,
1679,b0,SR19A-PC-HSTR-05:I,SR19A-PC-HSTR-05:SETI,,
1679,a0,SR19A-PC-VSTR-05:I,SR19A-PC-VSTR-05:SETI,,
1682,b1,SR19A-PC-Q2AB-07:I,SR19A-PC-Q2AB-07:SETI,,
1684,x,SR19C-DI-EBPM-05:SA:X,,SR19C-DI-EBPM-05:CF:ENABLED_S,1
1684,y,SR19C-DI-EBPM-05:SA:Y,,SR19C-DI-EBPM-05:CF:ENABLED_S,1
1686,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1689,b2,SR19A-PC-S2B-06:I,SR19A-PC-S2B-06:SETI,,
1689,b0,SR19A-PC-HSTR-06:I,SR19A-PC-HSTR-06:SETI,,
1689,a0,SR19A-PC-VSTR-06:I,SR19A-PC-VSTR-06:SETI,,
1692,b1,SR19A-PC-Q3B-08:I,SR19A-PC-Q3B-08:SETI,,
1694,x,SR19C-DI-EBPM-06:SA:X,,SR19C-DI-EBPM-06:CF:ENABLED_S,1
1694,y,SR19C-DI-EBPM-06:SA:Y,,SR19C-DI-EBPM-06:CF:ENABLED_S,1
1696,b1,SR19A-PC-Q2B-09:I,SR19A-PC-Q2B-09:SETI,,
1699,b2,SR19A-PC-S1B-07:I,SR19A-PC-S1B-07:SETI,,
1699,b0,SR19A-PC-HSTR-07:I,SR19A-PC-HSTR-07:SETI,,
1699,a0,SR19A-PC-VSTR-07:I,SR19A-PC-VSTR-07:SETI,,
1702,b1,SR19A-PC-Q1B-10:I,SR19A-PC-Q1B-10:SETI,,
1704,x,SR19C-DI-EBPM-07:SA:X,,SR19C-DI-EBPM-07:CF:ENABLED_S,1
1704,y,SR19C-DI-EBPM-07:SA:Y,,SR19C-DI-EBPM-07:CF:ENABLED_S,1
1748,x,SR20C-DI-EBPM-01:SA:X,,SR20C-DI-EBPM-01:CF:ENABLED_S,1
1748,y,SR20C-DI-EBPM-01:SA:Y,,SR20C-DI-EBPM-01:CF:ENABLED_S,1
1751,b1,SR20A-PC-Q1B-01:I,SR20A-PC-Q1B-01:SETI,,
1754,b2,SR20A-PC-S1C-01:I,SR20A-PC-S1C-01:SETI,,
1754,b0,SR20A-PC-HSTR-01:I,SR20A-PC-HSTR-01:SETI,,
1754,a0,SR20A-PC-VSTR-01:I,SR20A-PC-VSTR-01:SETI,,
1757,b1,SR20A-PC-Q2B-02:I,SR20A-PC-Q2B-02:SETI,,
1759,b1,SR20A-PC-Q3B-03:I,SR20A-PC-Q3B-03:SETI,,
1762,b2,SR20A-PC-S2C-02:I,SR20A-PC-S2C-02:SETI,,
1762,b0,SR20A-PC-HSTR-02:I,SR20A-PC-HSTR-02:SETI,,
1762,a0,SR20A-PC-VSTR-02:I,SR20A-PC-VSTR-02:SETI,,
1765,x,SR20C-DI-EBPM-02:SA:X,,SR20C-DI-EBPM-02:CF:ENABLED_S,1
1765,y,SR20C-DI-EBPM-02:SA:Y,,SR20C-DI-EBPM-02:CF:ENABLED_S,1
1767,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1769,b1,SR20A-PC-Q2AB-04:I,SR20A-PC-Q2AB-04:SETI,,
1771,x,SR20C-DI-EBPM-03:SA:X,,SR20C-DI-EBPM-03:CF:ENABLED_S,1
1771,y,SR20C-DI-EBPM-03:SA:Y,,SR20C-DI-EBPM-03:CF:ENABLED_S,1
1774,b2,SR20A-PC-S2A-03:I,SR20A-PC-S2A-03:SETI,,
1774,b0,SR20A-PC-HSTR-03:I,SR20A-PC-HSTR-03:SETI,,
1774,a0,SR20A-PC-VSTR-03:I,SR20A-PC-VSTR-03:SETI,,
1777,b1,SR20A-PC-Q1AB-05:I,SR20A-PC-Q1AB-05:SETI,,
1779,x,SR20C-DI-EBPM-04:SA:X,,SR20C-DI-EBPM-04:CF:ENABLED_S,1
1779,y,SR20C-DI-EBPM-04:SA:Y,,SR20C-DI-EBPM-04:CF:ENABLED_S,1
1782,b2,SR20A-PC-S1A-04:I,SR20A-PC-S1A-04:SETI,,
1782,b0,SR20A-PC-HSTR-04:I,SR20A-PC-HSTR-04:SETI,,
1782,a0,SR20A-PC-VSTR-04:I,SR20A-PC-VSTR-04:SETI,,
1785,b1,SR20A-PC-Q1AD-06:I,SR20A-PC-Q1AD-06:SETI,,
1788,b2,SR20A-PC-S2A-05:I,SR20A-PC-S2A-05:SETI,,
1788,b0,SR20A-PC-HSTR-05:I,SR20A-PC-HSTR-05:SETI,,
1788,a0,SR20A-PC-VSTR-05:I,SR20A-PC-VSTR-05:SETI,,
1791,b1,SR20A-PC-Q2AD-07:I,SR20A-PC-Q2AD-07:SETI,,
1793,x,SR20C-DI-EBPM-05:SA:X,,SR20C-DI-EBPM-05:CF:ENABLED_S,1
1793,y,SR20C-DI-EBPM-05:SA:Y,,SR20C-DI-EBPM-05:CF:ENABLED_S,1
1795,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1798,b2,SR20A-PC-S2D-06:I,SR20A-PC-S2D-06:SETI,,
1798,b0,SR20A-PC-HSTR-06:I,SR20A-PC-HSTR-06:SETI,,
1798,a0,SR20A-PC-VSTR-06:I,SR20A-PC-VSTR-06:SETI,,
1801,b1,SR20A-PC-Q3D-08:I,SR20A-PC-Q3D-08:SETI,,
1803,x,SR20C-DI-EBPM-06:SA:X,,SR20C-DI-EBPM-06:CF:ENABLED_S,1
1803,y,SR20C-DI-EBPM-06:SA:Y,,SR20C-DI-EBPM-06:CF:ENABLED_S,1
1805,b1,SR20A-PC-Q2D-09:I,SR20A-PC-Q2D-09:SETI,,
1808,b2,SR20A-PC-S1D-07:I,SR20A-PC-S1D-07:SETI,,
1808,b0,SR20A-PC-HSTR-07:I,SR20A-PC-HSTR-07:SETI,,
1808,a0,SR20A-PC-VSTR-07:I,SR20A-PC-VSTR-07:SETI,,
1811,b1,SR20A-PC-Q1D-10:I,SR20A-PC-Q1D-10:SETI,,
1813,x,SR20C-DI-EBPM-07:SA:X,,SR20C-DI-EBPM-07:CF:ENABLED_S,1
1813,y,SR20C-DI-EBPM-07:SA:Y,,SR20C-DI-EBPM-07:CF:ENABLED_S,1
1827,x,SR21C-DI-EBPM-01:SA:X,,SR21C-DI-EBPM-01:CF:ENABLED_S,1
1827,y,SR21C-DI-EBPM-01:SA:Y,,SR21C-DI-EBPM-01:CF:ENABLED_S,1
1829,b1,SR21A-PC-Q1D-01:I,SR21A-PC-Q1D-01:SETI,,
1832,b2,SR21A-PC-S1D-01:I,SR21A-PC-S1D-01:SETI,,
1832,b0,SR21A-PC-HSTR-01:I,SR21A-PC-HSTR-01:SETI,,
1832,a0,SR21A-PC-VSTR-01:I,SR21A-PC-VSTR-01:SETI,,
1835,b1,SR21A-PC-Q2D-02:I,SR21A-PC-Q2D-02:SETI,,
1837,b1,SR21A-PC-Q3D-03:I,SR21A-PC-Q3D-03:SETI,,
1840,b2,SR21A-PC-S2D-02:I,SR21A-PC-S2D-02:SETI,,
1840,b0,SR21A-PC-HSTR-02:I,SR21A-PC-HSTR-02:SETI,,
1840,a0,SR21A-PC-VSTR-02:I,SR21A-PC-VSTR-02:SETI,,
1843,x,SR21C-DI-EBPM-02:SA:X,,SR21C-DI-EBPM-02:CF:ENABLED_S,1
