id,field,get_pv,set_pv,enable_pv,enable_value
929,y,SR10C-DI-EBPM-03:SA:Y,,SR10C-DI-EBPM-03:CF:ENABLED_S,1
932,b2,SR10A-PC-S2A-03:I,SR10A-PC-S2A-03:SETI,,
932,b0,SR10A-PC-HSTR-03:I,SR10A-PC-HSTR-03:SETI,,
932,a0,SR10A-PC-VSTR-03:I,SR10A-PC-VSTR-03:SETI,,
935,b1,SR10A-PC-Q1AB-05:I,SR10A-PC-Q1AB-05:SETI,,
937,x,SR10C-DI-EBPM-04:SA:X,,SR10C-DI-EBPM-04:CF:ENABLED_S,1
937,y,SR10C-DI-EBPM-04:SA:Y,,SR10C-DI-EBPM-04:CF:ENABLED_S,1
940,b2,SR10A-PC-S1A-04:I,SR10A-PC-S1A-04:SETI,,
940,b0,SR10A-PC-HSTR-04:I,SR10A-PC-HSTR-04:SETI,,
940,a0,SR10A-PC-VSTR-04:I,SR10A-PC-VSTR-04:SETI,,
943,b1,SR10A-PC-Q1AB-06:I,SR10A-PC-Q1AB-06:SETI,,
946,b2,SR10A-PC-S2A-05:I,SR10A-PC-S2A-05:SETI,,
946,b0,SR10A-PC-HSTR-05:I,SR10A-PC-HSTR-05:SETI,,
946,a0,SR10A-PC-VSTR-05:I,SR10A-PC-VSTR-05:SETI,,
949,b1,SR10A-PC-Q2AB-07:I,SR10A-PC-Q2AB-07:SETI,,
951,x,SR10C-DI-EBPM-05:SA:X,,SR10C-DI-EBPM-05:CF:ENABLED_S,1
951,y,SR10C-DI-EBPM-05:SA:Y,,SR10C-DI-EBPM-05:CF:ENABLED_S,1
953,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
956,b2,SR10A-PC-S2B-06:I,SR10A-PC-S2B-06:SETI,,
956,b0,SR10A-PC-HSTR-06:I,SR10A-PC-HSTR-06:SETI,,
956,a0,SR10A-PC-VSTR-06:I,SR10A-PC-VSTR-06:SETI,,
959,b1,SR10A-PC-Q3B-08:I,SR10A-PC-Q3B-08:SETI,,
961,x,SR10C-DI-EBPM-06:SA:X,,SR10C-DI-EBPM-06:CF:ENABLED_S,1
961,y,SR10C-DI-EBPM-06:SA:Y,,SR10C-DI-EBPM-06:CF:ENABLED_S,1
963,b1,SR10A-PC-Q2B-09:I,SR10A-PC-Q2B-09:SETI,,
966,b2,SR10A-PC-S1B-07:I,SR10A-PC-S1B-07:SETI,,
966,b0,SR10A-PC-HSTR-07:I,SR10A-PC-HSTR-07:SETI,,
966,a0,SR10A-PC-VSTR-07:I,SR10A-PC-VSTR-07:SETI,,
969,b1,SR10A-PC-Q1B-10:I,SR10A-PC-Q1B-10:SETI,,
971,x,SR10C-DI-EBPM-07:SA:X,,SR10C-DI-EBPM-07:CF:ENABLED_S,1
971,y,SR10C-DI-EBPM-07:SA:Y,,SR10C-DI-EBPM-07:CF:ENABLED_S,1
985,x,SR11C-DI-EBPM-01:SA:X,,SR11C-DI-EBPM-01:CF:ENABLED_S,1
985,y,SR11C-DI-EBPM-01:SA:Y,,SR11C-DI-EBPM-01:CF:ENABLED_S,1
987,b1,SR11A-PC-Q1B-01:I,SR11A-PC-Q1B-01:SETI,,
990,b2,SR11A-PC-S1B-01:I,SR11A-PC-S1B-01:SETI,,
990,b0,SR11A-PC-HSTR-01:I,SR11A-PC-HSTR-01:SETI,,
990,a0,SR11A-PC-VSTR-01:I,SR11A-PC-VSTR-01:SETI,,
993,b1,SR11A-PC-Q2B-02:I,SR11A-PC-Q2B-02:SETI,,
995,b1,SR11A-PC-Q3B-03:I,SR11A-PC-Q3B-03:SETI,,
998,b2,SR11A-PC-S2B-02:I,SR11A-PC-S2B-02:SETI,,
998,b0,SR11A-PC-HSTR-02:I,SR11A-PC-HSTR-02:SETI,,
998,a0,SR11A-PC-VSTR-02:I,SR11A-PC-VSTR-02:SETI,,
1001,x,SR11C-DI-EBPM-02:SA:X,,SR11C-DI-EBPM-02:CF:ENABLED_S,1
1001,y,SR11C-DI-EBPM-02:SA:Y,,SR11C-DI-EBPM-02:CF:ENABLED_S,1
1003,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1005,b1,SR11A-PC-Q2AB-04:I,SR11A-PC-Q2AB-04:SETI,,
1007,x,SR11C-DI-EBPM-03:SA:X,,SR11C-DI-EBPM-03:CF:ENABLED_S,1
1007,y,SR11C-DI-EBPM-03:SA:Y,,SR11C-DI-EBPM-03:CF:ENABLED_S,1
1010,b2,SR11A-PC-S2A-03:I,SR11A-PC-S2A-03:SETI,,
1010,b0,SR11A-PC-HSTR-03:I,SR11A-PC-HSTR-03:SETI,,
1010,a0,SR11A-PC-VSTR-03:I,SR11A-PC-VSTR-03:SETI,,
1013,b1,SR11A-PC-Q1AB-05:I,SR11A-PC-Q1AB-05:SETI,,
1015,x,SR11C-DI-EBPM-04:SA:X,,SR11C-DI-EBPM-04:CF:ENABLED_S,1
1015,y,SR11C-DI-EBPM-04:SA:Y,,SR11C-DI-EBPM-04:CF:ENABLED_S,1
1018,b2,SR11A-PC-S1A-04:I,SR11A-PC-S1A-04:SETI,,
1018,b0,SR11A-PC-HSTR-04:I,SR11A-PC-HSTR-04:SETI,,
1018,a0,SR11A-PC-VSTR-04:I,SR11A-PC-VSTR-04:SETI,,
1021,b1,SR11A-PC-Q1AB-06:I,SR11A-PC-Q1AB-06:SETI,,
1024,b2,SR11A-PC-S2A-05:I,SR11A-PC-S2A-05:SETI,,
1024,b0,SR11A-PC-HSTR-05:I,SR11A-PC-HSTR-05:SETI,,
1024,a0,SR11A-PC-VSTR-05:I,SR11A-PC-VSTR-05:SETI,,
1027,b1,SR11A-PC-Q2AB-07:I,SR11A-PC-Q2AB-07:SETI,,
1029,x,SR11C-DI-EBPM-05:SA:X,,SR11C-DI-EBPM-05:CF:ENABLED_S,1
1029,y,SR11C-DI-EBPM-05:SA:Y,,SR11C-DI-EBPM-05:CF:ENABLED_S,1
1031,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1034,b2,SR11A-PC-S2B-06:I,SR11A-PC-S2B-06:SETI,,
1034,b0,SR11A-PC-HSTR-06:I,SR11A-PC-HSTR-06:SETI,,
1034,a0,SR11A-PC-VSTR-06:I,SR11A-PC-VSTR-06:SETI,,
1037,b1,SR11A-PC-Q3B-08:I,SR11A-PC-Q3B-08:SETI,,
1039,x,SR11C-DI-EBPM-06:SA:X,,SR11C-DI-EBPM-06:CF:ENABLED_S,1
1039,y,SR11C-DI-EBPM-06:SA:Y,,SR11C-DI-EBPM-06:CF:ENABLED_S,1
1041,b1,SR11A-PC-Q2B-09:I,SR11A-PC-Q2B-09:SETI,,
1044,b2,SR11A-PC-S1B-07:I,SR11A-PC-S1B-07:SETI,,
1044,b0,SR11A-PC-HSTR-07:I,SR11A-PC-HSTR-07:SETI,,
1044,a0,SR11A-PC-VSTR-07:I,SR11A-PC-VSTR-07:SETI,,
1047,b1,SR11A-PC-Q1B-10:I,SR11A-PC-Q1B-10:SETI,,
1049,x,SR11C-DI-EBPM-07:SA:X,,SR11C-DI-EBPM-07:CF:ENABLED_S,1
1049,y,SR11C-DI-EBPM-07:SA:Y,,SR11C-DI-EBPM-07:CF:ENABLED_S,1
