id,name,field,get_pv,set_pv
33,SR01C-DI-EBPM-04,y_fofb_disabled,SR01C-PC-VBPM-04:FAST:DISABLED,
33,SR01C-DI-EBPM-04,y_sofb_disabled,SR01C-PC-VBPM-04:SLOW:DISABLED,
36,SR01A-PC-S1A-04,b2,SR01A-PC-S1A-04:I,SR01A-PC-S1A-04:SETI
36,SR01A-PC-HSTR-04,b0,SR01A-PC-HSTR-04:I,SR01A-PC-HSTR-04:SETI
36,SR01A-PC-HSTR-04,h_fofb_disabled,SR01A-PC-HSTR-04:FAST:DISABLED,
36,SR01A-PC-HSTR-04,h_sofb_disabled,SR01A-PC-HSTR-04:SLOW:DISABLED,
36,SR01A-PC-VSTR-04,a0,SR01A-PC-VSTR-04:I,SR01A-PC-VSTR-04:SETI
36,SR01A-PC-VSTR-04,v_fofb_disabled,SR01A-PC-VSTR-04:FAST:DISABLED,
36,SR01A-PC-VSTR-04,v_sofb_disabled,SR01A-PC-VSTR-04:SLOW:DISABLED,
39,SR01A-PC-Q1AB-06,b1,SR01A-PC-Q1AB-06:I,SR01A-PC-Q1AB-06:SETI
42,SR01A-PC-S2A-05,b2,SR01A-PC-S2A-05:I,SR01A-PC-S2A-05:SETI
42,SR01A-PC-HSTR-05,b0,SR01A-PC-HSTR-05:I,SR01A-PC-HSTR-05:SETI
42,SR01A-PC-HSTR-05,h_fofb_disabled,SR01A-PC-HSTR-05:FAST:DISABLED,
42,SR01A-PC-HSTR-05,h_sofb_disabled,SR01A-PC-HSTR-05:SLOW:DISABLED,
42,SR01A-PC-VSTR-05,a0,SR01A-PC-VSTR-05:I,SR01A-PC-VSTR-05:SETI
42,SR01A-PC-VSTR-05,v_fofb_disabled,SR01A-PC-VSTR-05:FAST:DISABLED,
42,SR01A-PC-VSTR-05,v_sofb_disabled,SR01A-PC-VSTR-05:SLOW:DISABLED,
45,SR01A-PC-Q2AB-07,b1,SR01A-PC-Q2AB-07:I,SR01A-PC-Q2AB-07:SETI
47,SR01C-DI-EBPM-05,x,SR01C-DI-EBPM-05:SA:X,
47,SR01C-DI-EBPM-05,y,SR01C-DI-EBPM-05:SA:Y,
47,SR01C-DI-EBPM-05,enabled,SR01C-DI-EBPM-05:CF:ENABLED_S,
47,SR01C-DI-EBPM-05,x_fofb_disabled,SR01C-PC-HBPM-05:FAST:DISABLED,
47,SR01C-DI-EBPM-05,x_sofb_disabled,SR01C-PC-HBPM-05:SLOW:DISABLED,
47,SR01C-DI-EBPM-05,y_fofb_disabled,SR01C-PC-VBPM-05:FAST:DISABLED,
47,SR01C-DI-EBPM-05,y_sofb_disabled,SR01C-PC-VBPM-05:SLOW:DISABLED,
49,SR-PC-DIPOL-01,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
52,SR01A-PC-S2C-06,b2,SR01A-PC-S2C-06:I,SR01A-PC-S2C-06:SETI
52,SR01A-PC-HSTR-06,b0,SR01A-PC-HSTR-06:I,SR01A-PC-HSTR-06:SETI
52,SR01A-PC-HSTR-06,h_fofb_disabled,SR01A-PC-HSTR-06:FAST:DISABLED,
52,SR01A-PC-HSTR-06,h_sofb_disabled,SR01A-PC-HSTR-06:SLOW:DISABLED,
52,SR01A-PC-VSTR-06,a0,SR01A-PC-VSTR-06:I,SR01A-PC-VSTR-06:SETI
52,SR01A-PC-VSTR-06,v_fofb_disabled,SR01A-PC-VSTR-06:FAST:DISABLED,
52,SR01A-PC-VSTR-06,v_sofb_disabled,SR01A-PC-VSTR-06:SLOW:DISABLED,
55,SR01A-PC-Q3B-08,b1,SR01A-PC-Q3B-08:I,SR01A-PC-Q3B-08:SETI
57,SR01C-DI-EBPM-06,x,SR01C-DI-EBPM-06:SA:X,
57,SR01C-DI-EBPM-06,y,SR01C-DI-EBPM-06:SA:Y,
57,SR01C-DI-EBPM-06,enabled,SR01C-DI-EBPM-06:CF:ENABLED_S,
57,SR01C-DI-EBPM-06,x_fofb_disabled,SR01C-PC-HBPM-06:FAST:DISABLED,
57,SR01C-DI-EBPM-06,x_sofb_disabled,SR01C-PC-HBPM-06:SLOW:DISABLED,
57,SR01C-DI-EBPM-06,y_fofb_disabled,SR01C-PC-VBPM-06:FAST:DISABLED,
57,SR01C-DI-EBPM-06,y_sofb_disabled,SR01C-PC-VBPM-06:SLOW:DISABLED,
59,SR01A-PC-Q2B-09,b1,SR01A-PC-Q2B-09:I,SR01A-PC-Q2B-09:SETI
62,SR01A-PC-S1C-07,b2,SR01A-PC-S1C-07:I,SR01A-PC-S1C-07:SETI
62,SR01A-PC-HSTR-07,b0,SR01A-PC-HSTR-07:I,SR01A-PC-HSTR-07:SETI
62,SR01A-PC-HSTR-07,h_fofb_disabled,SR01A-PC-HSTR-07:FAST:DISABLED,
62,SR01A-PC-HSTR-07,h_sofb_disabled,SR01A-PC-HSTR-07:SLOW:DISABLED,
62,SR01A-PC-VSTR-07,a0,SR01A-PC-VSTR-07:I,SR01A-PC-VSTR-07:SETI
