el_id,field,uc_type,uc_id,phys_units,eng_units
925,b1,pchip,8,m^-2,A
967,b1,pchip,8,m^-2,A
1003,b1,pchip,8,m^-2,A
1045,b1,pchip,8,m^-2,A
1081,b1,pchip,8,m^-2,A
1239,b1,pchip,8,m^-2,A
1275,b1,pchip,8,m^-2,A
1317,b1,pchip,8,m^-2,A
1353,b1,pchip,8,m^-2,A
1395,b1,pchip,8,m^-2,A
1433,b1,pchip,8,m^-2,A
1545,b1,pchip,8,m^-2,A
1583,b1,pchip,8,m^-2,A
1626,b1,pchip,8,m^-2,A
1662,b1,pchip,8,m^-2,A
1704,b1,pchip,8,m^-2,A
1771,b1,pchip,8,m^-2,A
1892,b1,pchip,8,m^-2,A
1928,b1,pchip,8,m^-2,A
1971,b1,pchip,8,m^-2,A
2007,b1,pchip,8,m^-2,A
2050,b1,pchip,8,m^-2,A
2086,b1,pchip,8,m^-2,A
59,b1,pchip,9,m^-2,A
248,b1,pchip,9,m^-2,A
296,b1,pchip,9,m^-2,A
350,b1,pchip,9,m^-2,A
479,b1,pchip,9,m^-2,A
522,b1,pchip,9,m^-2,A
570,b1,pchip,9,m^-2,A
614,b1,pchip,9,m^-2,A
663,b1,pchip,9,m^-2,A
693,b1,pchip,9,m^-2,A
857,b1,pchip,9,m^-2,A
923,b1,pchip,9,m^-2,A
971,b1,pchip,9,m^-2,A
1001,b1,pchip,9,m^-2,A
1049,b1,pchip,9,m^-2,A
1079,b1,pchip,9,m^-2,A
1243,b1,pchip,9,m^-2,A
1273,b1,pchip,9,m^-2,A
1321,b1,pchip,9,m^-2,A
1351,b1,pchip,9,m^-2,A
1399,b1,pchip,9,m^-2,A
1431,b1,pchip,9,m^-2,A
1549,b1,pchip,9,m^-2,A
1581,b1,pchip,9,m^-2,A
1630,b1,pchip,9,m^-2,A
1660,b1,pchip,9,m^-2,A
1708,b1,pchip,9,m^-2,A
1769,b1,pchip,9,m^-2,A
1896,b1,pchip,9,m^-2,A
1926,b1,pchip,9,m^-2,A
1975,b1,pchip,9,m^-2,A
2005,b1,pchip,9,m^-2,A
2054,b1,pchip,9,m^-2,A
2084,b1,pchip,9,m^-2,A
65,b1,pchip,10,m^-2,A
242,b1,pchip,10,m^-2,A
302,b1,pchip,10,m^-2,A
344,b1,pchip,10,m^-2,A
485,b1,pchip,10,m^-2,A
516,b1,pchip,10,m^-2,A
576,b1,pchip,10,m^-2,A
608,b1,pchip,10,m^-2,A
669,b1,pchip,10,m^-2,A
687,b1,pchip,10,m^-2,A
863,b1,pchip,10,m^-2,A
917,b1,pchip,10,m^-2,A
977,b1,pchip,10,m^-2,A
995,b1,pchip,10,m^-2,A
1055,b1,pchip,10,m^-2,A
1073,b1,pchip,10,m^-2,A
1249,b1,pchip,10,m^-2,A
1267,b1,pchip,10,m^-2,A
1327,b1,pchip,10,m^-2,A
1345,b1,pchip,10,m^-2,A
1405,b1,pchip,10,m^-2,A
1425,b1,pchip,10,m^-2,A
1555,b1,pchip,10,m^-2,A
1575,b1,pchip,10,m^-2,A
1636,b1,pchip,10,m^-2,A
1654,b1,pchip,10,m^-2,A
1714,b1,pchip,10,m^-2,A
1763,b1,pchip,10,m^-2,A
1902,b1,pchip,10,m^-2,A
1920,b1,pchip,10,m^-2,A
1981,b1,pchip,10,m^-2,A
1999,b1,pchip,10,m^-2,A
2060,b1,pchip,10,m^-2,A
2078,b1,pchip,10,m^-2,A
99,b1,pchip,11,m^-2,A
204,b1,pchip,12,m^-2,A
103,b1,pchip,13,m^-2,A
198,b1,pchip,14,m^-2,A
122,b1,pchip,15,m^-2,A
128,b1,pchip,16,m^-2,A
173,b1,pchip,17,m^-2,A
181,b1,pchip,18,m^-2,A
142,b1,pchip,19,m^-2,A
157,b1,pchip,20,m^-2,A
749,b1,pchip,21,m^-2,A
776,b1,pchip,22,m^-2,A
778,b1,pchip,23,m^-2,A
801,b1,pchip,24,m^-2,A
1135,b1,pchip,25,m^-2,A
1162,b1,pchip,26,m^-2,A
1164,b1,pchip,27,m^-2,A
1187,b1,pchip,28,m^-2,A
8,b2,pchip,29,m^-3,A
401,b2,pchip,29,m^-3,A
428,b2,pchip,29,m^-3,A
744,b2,pchip,29,m^-3,A
806,b2,pchip,29,m^-3,A
1130,b2,pchip,29,m^-3,A
1192,b2,pchip,29,m^-3,A
1483,b2,pchip,29,m^-3,A
1498,b2,pchip,29,m^-3,A
1820,b2,pchip,29,m^-3,A
1844,b2,pchip,29,m^-3,A
2136,b2,pchip,29,m^-3,A
16,b2,pchip,30,m^-3,A
391,b2,pchip,30,m^-3,A
436,b2,pchip,30,m^-3,A
734,b2,pchip,30,m^-3,A
814,b2,pchip,30,m^-3,A
1120,b2,pchip,30,m^-3,A
1200,b2,pchip,30,m^-3,A
1473,b2,pchip,30,m^-3,A
1506,b2,pchip,30,m^-3,A
1810,b2,pchip,30,m^-3,A
1852,b2,pchip,30,m^-3,A
2126,b2,pchip,30,m^-3,A
28,b2,pchip,31,m^-3,A
42,b2,pchip,32,m^-3,A
265,b2,pchip,33,m^-3,A
279,b2,pchip,34,m^-3,A
367,b2,pchip,35,m^-3,A
381,b2,pchip,36,m^-3,A
448,b2,pchip,37,m^-3,A
462,b2,pchip,38,m^-3,A
539,b2,pchip,39,m^-3,A
553,b2,pchip,40,m^-3,A
631,b2,pchip,41,m^-3,A
645,b2,pchip,42,m^-3,A
710,b2,pchip,43,m^-3,A
724,b2,pchip,44,m^-3,A
826,b2,pchip,45,m^-3,A
840,b2,pchip,46,m^-3,A
940,b2,pchip,47,m^-3,A
954,b2,pchip,48,m^-3,A
1018,b2,pchip,49,m^-3,A
1032,b2,pchip,50,m^-3,A
1096,b2,pchip,51,m^-3,A
1110,b2,pchip,52,m^-3,A
1212,b2,pchip,53,m^-3,A
1226,b2,pchip,54,m^-3,A
1290,b2,pchip,55,m^-3,A
1304,b2,pchip,56,m^-3,A
1368,b2,pchip,57,m^-3,A
1382,b2,pchip,58,m^-3,A
1448,b2,pchip,59,m^-3,A
1462,b2,pchip,60,m^-3,A
1518,b2,pchip,61,m^-3,A
1532,b2,pchip,62,m^-3,A
1598,b2,pchip,63,m^-3,A
1612,b2,pchip,64,m^-3,A
1677,b2,pchip,65,m^-3,A
1691,b2,pchip,66,m^-3,A
1786,b2,pchip,67,m^-3,A
1800,b2,pchip,68,m^-3,A
1864,b2,pchip,69,m^-3,A
1878,b2,pchip,70,m^-3,A
1943,b2,pchip,71,m^-3,A
1957,b2,pchip,72,m^-3,A
2022,b2,pchip,73,m^-3,A
2036,b2,pchip,74,m^-3,A
2101,b2,pchip,75,m^-3,A
2115,b2,pchip,76,m^-3,A
36,b2,pchip,77,m^-3,A
273,b2,pchip,77,m^-3,A
375,b2,pchip,77,m^-3,A
456,b2,pchip,77,m^-3,A
547,b2,pchip,77,m^-3,A
639,b2,pchip,77,m^-3,A
718,b2,pchip,77,m^-3,A
834,b2,pchip,77,m^-3,A
948,b2,pchip,77,m^-3,A
1026,b2,pchip,77,m^-3,A
1104,b2,pchip,77,m^-3,A
1220,b2,pchip,77,m^-3,A
1298,b2,pchip,77,m^-3,A
1376,b2,pchip,77,m^-3,A
1456,b2,pchip,77,m^-3,A
1526,b2,pchip,77,m^-3,A
1606,b2,pchip,77,m^-3,A
1685,b2,pchip,77,m^-3,A
1794,b2,pchip,77,m^-3,A
1872,b2,pchip,77,m^-3,A
1951,b2,pchip,77,m^-3,A
2030,b2,pchip,77,m^-3,A
2109,b2,pchip,77,m^-3,A
52,b2,pchip,78,m^-3,A
355,b2,pchip,78,m^-3,A
472,b2,pchip,78,m^-3,A
698,b2,pchip,78,m^-3,A
850,b2,pchip,78,m^-3,A
1084,b2,pchip,78,m^-3,A
1236,b2,pchip,78,m^-3,A
1436,b2,pchip,78,m^-3,A
1542,b2,pchip,78,m^-3,A
1774,b2,pchip,78,m^-3,A
1889,b2,pchip,78,m^-3,A
2089,b2,pchip,78,m^-3,A
62,b2,pchip,79,m^-3,A
347,b2,pchip,79,m^-3,A
482,b2,pchip,79,m^-3,A
690,b2,pchip,79,m^-3,A
860,b2,pchip,79,m^-3,A
1076,b2,pchip,79,m^-3,A
1246,b2,pchip,79,m^-3,A
1428,b2,pchip,79,m^-3,A
1552,b2,pchip,79,m^-3,A
1766,b2,pchip,79,m^-3,A
1899,b2,pchip,79,m^-3,A
2081,b2,pchip,79,m^-3,A
101,b2,pchip,80,m^-3,A
202,b2,pchip,81,m^-3,A
107,b2,pchip,82,m^-3,A
194,b2,pchip,83,m^-3,A
120,b2,pchip,84,m^-3,A
130,b2,pchip,85,m^-3,A
171,b2,pchip,86,m^-3,A
183,b2,pchip,87,m^-3,A
126,b2,pchip,88,m^-3,A
179,b2,pchip,89,m^-3,A
245,b2,pchip,90,m^-3,A
299,b2,pchip,90,m^-3,A
519,b2,pchip,90,m^-3,A
573,b2,pchip,90,m^-3,A
611,b2,pchip,90,m^-3,A
666,b2,pchip,90,m^-3,A
920,b2,pchip,90,m^-3,A
974,b2,pchip,90,m^-3,A
998,b2,pchip,90,m^-3,A
1052,b2,pchip,90,m^-3,A
1270,b2,pchip,90,m^-3,A
1324,b2,pchip,90,m^-3,A
1348,b2,pchip,90,m^-3,A
1402,b2,pchip,90,m^-3,A
1578,b2,pchip,90,m^-3,A
1633,b2,pchip,90,m^-3,A
1657,b2,pchip,90,m^-3,A
1711,b2,pchip,90,m^-3,A
1923,b2,pchip,90,m^-3,A
1978,b2,pchip,90,m^-3,A
2002,b2,pchip,90,m^-3,A
2057,b2,pchip,90,m^-3,A
253,b2,pchip,91,m^-3,A
289,b2,pchip,92,m^-3,A
527,b2,pchip,93,m^-3,A
563,b2,pchip,94,m^-3,A
619,b2,pchip,95,m^-3,A
656,b2,pchip,96,m^-3,A
928,b2,pchip,97,m^-3,A
964,b2,pchip,98,m^-3,A
1006,b2,pchip,99,m^-3,A
1042,b2,pchip,100,m^-3,A
1278,b2,pchip,101,m^-3,A
1314,b2,pchip,102,m^-3,A
1356,b2,pchip,103,m^-3,A
1392,b2,pchip,104,m^-3,A
1586,b2,pchip,105,m^-3,A
1623,b2,pchip,106,m^-3,A
1665,b2,pchip,107,m^-3,A
1701,b2,pchip,108,m^-3,A
1931,b2,pchip,109,m^-3,A
1968,b2,pchip,110,m^-3,A
2010,b2,pchip,111,m^-3,A
2047,b2,pchip,112,m^-3,A
21,b0,pchip,113,m^-1,A
49,b0,pchip,113,m^-1,A
111,b0,pchip,113,m^-1,A
136,b0,pchip,113,m^-1,A
164,b0,pchip,113,m^-1,A
189,b0,pchip,113,m^-1,A
258,b0,pchip,113,m^-1,A
286,b0,pchip,113,m^-1,A
360,b0,pchip,113,m^-1,A
388,b0,pchip,113,m^-1,A
441,b0,pchip,113,m^-1,A
469,b0,pchip,113,m^-1,A
532,b0,pchip,113,m^-1,A
560,b0,pchip,113,m^-1,A
624,b0,pchip,113,m^-1,A
653,b0,pchip,113,m^-1,A
703,b0,pchip,113,m^-1,A
731,b0,pchip,113,m^-1,A
819,b0,pchip,113,m^-1,A
847,b0,pchip,113,m^-1,A
933,b0,pchip,113,m^-1,A
