el_id,field,uc_type,uc_id,phys_units,eng_units,lower_lim,upper_lim
1535,b1,pchip,10,m^-2,A,0,200
1593,b1,pchip,10,m^-2,A,0,200
1615,b1,pchip,10,m^-2,A,0,200
1672,b1,pchip,10,m^-2,A,0,200
1694,b1,pchip,10,m^-2,A,0,200
1781,b1,pchip,10,m^-2,A,0,200
1881,b1,pchip,10,m^-2,A,0,200
1938,b1,pchip,10,m^-2,A,0,200
1960,b1,pchip,10,m^-2,A,0,200
2017,b1,pchip,10,m^-2,A,0,200
2039,b1,pchip,10,m^-2,A,0,200
2096,b1,pchip,10,m^-2,A,0,200
55,b1,pchip,11,m^-2,A,0,200
250,b1,pchip,11,m^-2,A,0,200
292,b1,pchip,11,m^-2,A,0,200
352,b1,pchip,11,m^-2,A,0,200
475,b1,pchip,11,m^-2,A,0,200
524,b1,pchip,11,m^-2,A,0,200
566,b1,pchip,11,m^-2,A,0,200
616,b1,pchip,11,m^-2,A,0,200
659,b1,pchip,11,m^-2,A,0,200
695,b1,pchip,11,m^-2,A,0,200
853,b1,pchip,11,m^-2,A,0,200
925,b1,pchip,11,m^-2,A,0,200
967,b1,pchip,11,m^-2,A,0,200
1003,b1,pchip,11,m^-2,A,0,200
1045,b1,pchip,11,m^-2,A,0,200
1081,b1,pchip,11,m^-2,A,0,200
1239,b1,pchip,11,m^-2,A,0,200
1275,b1,pchip,11,m^-2,A,0,200
1317,b1,pchip,11,m^-2,A,0,200
1353,b1,pchip,11,m^-2,A,0,200
1395,b1,pchip,11,m^-2,A,0,200
1433,b1,pchip,11,m^-2,A,0,200
1545,b1,pchip,11,m^-2,A,0,200
1583,b1,pchip,11,m^-2,A,0,200
1626,b1,pchip,11,m^-2,A,0,200
1662,b1,pchip,11,m^-2,A,0,200
1704,b1,pchip,11,m^-2,A,0,200
1771,b1,pchip,11,m^-2,A,0,200
1892,b1,pchip,11,m^-2,A,0,200
1928,b1,pchip,11,m^-2,A,0,200
1971,b1,pchip,11,m^-2,A,0,200
2007,b1,pchip,11,m^-2,A,0,200
2050,b1,pchip,11,m^-2,A,0,200
2086,b1,pchip,11,m^-2,A,0,200
59,b1,pchip,12,m^-2,A,0,200
248,b1,pchip,12,m^-2,A,0,200
296,b1,pchip,12,m^-2,A,0,200
350,b1,pchip,12,m^-2,A,0,200
479,b1,pchip,12,m^-2,A,0,200
522,b1,pchip,12,m^-2,A,0,200
570,b1,pchip,12,m^-2,A,0,200
614,b1,pchip,12,m^-2,A,0,200
663,b1,pchip,12,m^-2,A,0,200
693,b1,pchip,12,m^-2,A,0,200
857,b1,pchip,12,m^-2,A,0,200
923,b1,pchip,12,m^-2,A,0,200
971,b1,pchip,12,m^-2,A,0,200
1001,b1,pchip,12,m^-2,A,0,200
1049,b1,pchip,12,m^-2,A,0,200
1079,b1,pchip,12,m^-2,A,0,200
1243,b1,pchip,12,m^-2,A,0,200
1273,b1,pchip,12,m^-2,A,0,200
1321,b1,pchip,12,m^-2,A,0,200
1351,b1,pchip,12,m^-2,A,0,200
1399,b1,pchip,12,m^-2,A,0,200
1431,b1,pchip,12,m^-2,A,0,200
1549,b1,pchip,12,m^-2,A,0,200
1581,b1,pchip,12,m^-2,A,0,200
1630,b1,pchip,12,m^-2,A,0,200
1660,b1,pchip,12,m^-2,A,0,200
1708,b1,pchip,12,m^-2,A,0,200
1769,b1,pchip,12,m^-2,A,0,200
1896,b1,pchip,12,m^-2,A,0,200
1926,b1,pchip,12,m^-2,A,0,200
1975,b1,pchip,12,m^-2,A,0,200
2005,b1,pchip,12,m^-2,A,0,200
2054,b1,pchip,12,m^-2,A,0,200
2084,b1,pchip,12,m^-2,A,0,200
65,b1,pchip,13,m^-2,A,0,200
242,b1,pchip,13,m^-2,A,0,200
302,b1,pchip,13,m^-2,A,0,200
344,b1,pchip,13,m^-2,A,0,200
485,b1,pchip,13,m^-2,A,0,200
516,b1,pchip,13,m^-2,A,0,200
576,b1,pchip,13,m^-2,A,0,200
608,b1,pchip,13,m^-2,A,0,200
669,b1,pchip,13,m^-2,A,0,200
687,b1,pchip,13,m^-2,A,0,200
863,b1,pchip,13,m^-2,A,0,200
917,b1,pchip,13,m^-2,A,0,200
977,b1,pchip,13,m^-2,A,0,200
995,b1,pchip,13,m^-2,A,0,200
1055,b1,pchip,13,m^-2,A,0,200
1073,b1,pchip,13,m^-2,A,0,200
1249,b1,pchip,13,m^-2,A,0,200
1267,b1,pchip,13,m^-2,A,0,200
1327,b1,pchip,13,m^-2,A,0,200
1345,b1,pchip,13,m^-2,A,0,200
1405,b1,pchip,13,m^-2,A,0,200
1425,b1,pchip,13,m^-2,A,0,200
1555,b1,pchip,13,m^-2,A,0,200
1575,b1,pchip,13,m^-2,A,0,200
1636,b1,pchip,13,m^-2,A,0,200
1654,b1,pchip,13,m^-2,A,0,200
1714,b1,pchip,13,m^-2,A,0,200
1763,b1,pchip,13,m^-2,A,0,200
1902,b1,pchip,13,m^-2,A,0,200
1920,b1,pchip,13,m^-2,A,0,200
1981,b1,pchip,13,m^-2,A,0,200
1999,b1,pchip,13,m^-2,A,0,200
2060,b1,pchip,13,m^-2,A,0,200
2078,b1,pchip,13,m^-2,A,0,200
99,b1,pchip,14,m^-2,A,0,200
204,b1,pchip,15,m^-2,A,0,200
103,b1,pchip,16,m^-2,A,0,200
198,b1,pchip,17,m^-2,A,0,200
122,b1,pchip,18,m^-2,A,0,200
128,b1,pchip,19,m^-2,A,0,200
173,b1,pchip,20,m^-2,A,0,200
181,b1,pchip,21,m^-2,A,0,200
142,b1,pchip,22,m^-2,A,0,200
157,b1,pchip,23,m^-2,A,0,200
749,b1,pchip,24,m^-2,A,0,200
776,b1,pchip,25,m^-2,A,0,200
778,b1,pchip,26,m^-2,A,0,200
801,b1,pchip,27,m^-2,A,0,200
1135,b1,pchip,28,m^-2,A,0,200
1162,b1,pchip,29,m^-2,A,0,200
1164,b1,pchip,30,m^-2,A,0,200
1187,b1,pchip,31,m^-2,A,0,200
8,b2,pchip,32,m^-3,A,-100,100
401,b2,pchip,32,m^-3,A,-100,100
428,b2,pchip,32,m^-3,A,-100,100
744,b2,pchip,32,m^-3,A,-100,100
806,b2,pchip,32,m^-3,A,-100,100
1130,b2,pchip,32,m^-3,A,-100,100
1192,b2,pchip,32,m^-3,A,-100,100
1483,b2,pchip,32,m^-3,A,-100,100
1498,b2,pchip,32,m^-3,A,-100,100
1820,b2,pchip,32,m^-3,A,-100,100
1844,b2,pchip,32,m^-3,A,-100,100
2136,b2,pchip,32,m^-3,A,-100,100
16,b2,pchip,33,m^-3,A,-100,100
391,b2,pchip,33,m^-3,A,-100,100
436,b2,pchip,33,m^-3,A,-100,100
734,b2,pchip,33,m^-3,A,-100,100
814,b2,pchip,33,m^-3,A,-100,100
1120,b2,pchip,33,m^-3,A,-100,100
1200,b2,pchip,33,m^-3,A,-100,100
1473,b2,pchip,33,m^-3,A,-100,100
1506,b2,pchip,33,m^-3,A,-100,100
1810,b2,pchip,33,m^-3,A,-100,100
1852,b2,pchip,33,m^-3,A,-100,100
2126,b2,pchip,33,m^-3,A,-100,100
28,b2,pchip,34,m^-3,A,0,100
42,b2,pchip,35,m^-3,A,0,100
265,b2,pchip,36,m^-3,A,0,100
279,b2,pchip,37,m^-3,A,0,100
367,b2,pchip,38,m^-3,A,0,100
381,b2,pchip,39,m^-3,A,0,100
448,b2,pchip,40,m^-3,A,0,100
462,b2,pchip,41,m^-3,A,0,100
539,b2,pchip,42,m^-3,A,0,100
553,b2,pchip,43,m^-3,A,0,100
631,b2,pchip,44,m^-3,A,0,100
645,b2,pchip,45,m^-3,A,0,100
710,b2,pchip,46,m^-3,A,0,100
724,b2,pchip,47,m^-3,A,0,100
826,b2,pchip,48,m^-3,A,0,100
840,b2,pchip,49,m^-3,A,0,100
940,b2,pchip,50,m^-3,A,0,100
954,b2,pchip,51,m^-3,A,0,100
1018,b2,pchip,52,m^-3,A,0,100
1032,b2,pchip,53,m^-3,A,0,100
1096,b2,pchip,54,m^-3,A,0,100
1110,b2,pchip,55,m^-3,A,0,100
1212,b2,pchip,56,m^-3,A,0,100
1226,b2,pchip,57,m^-3,A,0,100
1290,b2,pchip,58,m^-3,A,0,100
1304,b2,pchip,59,m^-3,A,0,100
