el_id,field,uc_type,uc_id,phys_units,eng_units
925,b1,pchip,11,m^-2,A
967,b1,pchip,11,m^-2,A
1003,b1,pchip,11,m^-2,A
1047,b1,pchip,11,m^-2,A
1083,b1,pchip,11,m^-2,A
1241,b1,pchip,11,m^-2,A
1277,b1,pchip,11,m^-2,A
1319,b1,pchip,11,m^-2,A
1355,b1,pchip,11,m^-2,A
1397,b1,pchip,11,m^-2,A
1435,b1,pchip,11,m^-2,A
1547,b1,pchip,11,m^-2,A
1585,b1,pchip,11,m^-2,A
1628,b1,pchip,11,m^-2,A
1664,b1,pchip,11,m^-2,A
1706,b1,pchip,11,m^-2,A
1773,b1,pchip,11,m^-2,A
1894,b1,pchip,11,m^-2,A
1930,b1,pchip,11,m^-2,A
1973,b1,pchip,11,m^-2,A
2009,b1,pchip,11,m^-2,A
2052,b1,pchip,11,m^-2,A
2088,b1,pchip,11,m^-2,A
59,b1,pchip,12,m^-2,A
248,b1,pchip,12,m^-2,A
296,b1,pchip,12,m^-2,A
350,b1,pchip,12,m^-2,A
479,b1,pchip,12,m^-2,A
522,b1,pchip,12,m^-2,A
570,b1,pchip,12,m^-2,A
614,b1,pchip,12,m^-2,A
663,b1,pchip,12,m^-2,A
693,b1,pchip,12,m^-2,A
857,b1,pchip,12,m^-2,A
923,b1,pchip,12,m^-2,A
971,b1,pchip,12,m^-2,A
1001,b1,pchip,12,m^-2,A
1051,b1,pchip,12,m^-2,A
1081,b1,pchip,12,m^-2,A
1245,b1,pchip,12,m^-2,A
1275,b1,pchip,12,m^-2,A
1323,b1,pchip,12,m^-2,A
1353,b1,pchip,12,m^-2,A
1401,b1,pchip,12,m^-2,A
1433,b1,pchip,12,m^-2,A
1551,b1,pchip,12,m^-2,A
1583,b1,pchip,12,m^-2,A
1632,b1,pchip,12,m^-2,A
1662,b1,pchip,12,m^-2,A
1710,b1,pchip,12,m^-2,A
1771,b1,pchip,12,m^-2,A
1898,b1,pchip,12,m^-2,A
1928,b1,pchip,12,m^-2,A
1977,b1,pchip,12,m^-2,A
2007,b1,pchip,12,m^-2,A
2056,b1,pchip,12,m^-2,A
2086,b1,pchip,12,m^-2,A
65,b1,pchip,13,m^-2,A
242,b1,pchip,13,m^-2,A
302,b1,pchip,13,m^-2,A
344,b1,pchip,13,m^-2,A
485,b1,pchip,13,m^-2,A
516,b1,pchip,13,m^-2,A
576,b1,pchip,13,m^-2,A
608,b1,pchip,13,m^-2,A
669,b1,pchip,13,m^-2,A
687,b1,pchip,13,m^-2,A
863,b1,pchip,13,m^-2,A
917,b1,pchip,13,m^-2,A
977,b1,pchip,13,m^-2,A
995,b1,pchip,13,m^-2,A
1057,b1,pchip,13,m^-2,A
1075,b1,pchip,13,m^-2,A
1251,b1,pchip,13,m^-2,A
1269,b1,pchip,13,m^-2,A
1329,b1,pchip,13,m^-2,A
1347,b1,pchip,13,m^-2,A
1407,b1,pchip,13,m^-2,A
1427,b1,pchip,13,m^-2,A
1557,b1,pchip,13,m^-2,A
1577,b1,pchip,13,m^-2,A
1638,b1,pchip,13,m^-2,A
1656,b1,pchip,13,m^-2,A
1716,b1,pchip,13,m^-2,A
1765,b1,pchip,13,m^-2,A
1904,b1,pchip,13,m^-2,A
1922,b1,pchip,13,m^-2,A
1983,b1,pchip,13,m^-2,A
2001,b1,pchip,13,m^-2,A
2062,b1,pchip,13,m^-2,A
2080,b1,pchip,13,m^-2,A
99,b1,pchip,14,m^-2,A
204,b1,pchip,15,m^-2,A
103,b1,pchip,16,m^-2,A
198,b1,pchip,17,m^-2,A
122,b1,pchip,18,m^-2,A
128,b1,pchip,19,m^-2,A
173,b1,pchip,20,m^-2,A
181,b1,pchip,21,m^-2,A
142,b1,pchip,22,m^-2,A
157,b1,pchip,23,m^-2,A
749,b1,pchip,24,m^-2,A
776,b1,pchip,25,m^-2,A
778,b1,pchip,26,m^-2,A
801,b1,pchip,27,m^-2,A
1137,b1,pchip,28,m^-2,A
1164,b1,pchip,29,m^-2,A
1166,b1,pchip,30,m^-2,A
1189,b1,pchip,31,m^-2,A
8,b2,pchip,32,m^-3,A
401,b2,pchip,32,m^-3,A
428,b2,pchip,32,m^-3,A
744,b2,pchip,32,m^-3,A
806,b2,pchip,32,m^-3,A
1132,b2,pchip,32,m^-3,A
1194,b2,pchip,32,m^-3,A
1485,b2,pchip,32,m^-3,A
1500,b2,pchip,32,m^-3,A
1822,b2,pchip,32,m^-3,A
1846,b2,pchip,32,m^-3,A
2138,b2,pchip,32,m^-3,A
16,b2,pchip,33,m^-3,A
391,b2,pchip,33,m^-3,A
436,b2,pchip,33,m^-3,A
734,b2,pchip,33,m^-3,A
814,b2,pchip,33,m^-3,A
1122,b2,pchip,33,m^-3,A
1202,b2,pchip,33,m^-3,A
1475,b2,pchip,33,m^-3,A
1508,b2,pchip,33,m^-3,A
1812,b2,pchip,33,m^-3,A
1854,b2,pchip,33,m^-3,A
2128,b2,pchip,33,m^-3,A
28,b2,pchip,34,m^-3,A
42,b2,pchip,35,m^-3,A
265,b2,pchip,36,m^-3,A
279,b2,pchip,37,m^-3,A
367,b2,pchip,38,m^-3,A
381,b2,pchip,39,m^-3,A
448,b2,pchip,40,m^-3,A
462,b2,pchip,41,m^-3,A
539,b2,pchip,42,m^-3,A
553,b2,pchip,43,m^-3,A
631,b2,pchip,44,m^-3,A
645,b2,pchip,45,m^-3,A
710,b2,pchip,46,m^-3,A
724,b2,pchip,47,m^-3,A
826,b2,pchip,48,m^-3,A
840,b2,pchip,49,m^-3,A
940,b2,pchip,50,m^-3,A
954,b2,pchip,51,m^-3,A
1018,b2,pchip,52,m^-3,A
1098,b2,pchip,53,m^-3,A
1112,b2,pchip,54,m^-3,A
1214,b2,pchip,55,m^-3,A
1228,b2,pchip,56,m^-3,A
1292,b2,pchip,57,m^-3,A
1306,b2,pchip,58,m^-3,A
1370,b2,pchip,59,m^-3,A
1384,b2,pchip,60,m^-3,A
1450,b2,pchip,61,m^-3,A
1464,b2,pchip,62,m^-3,A
1520,b2,pchip,63,m^-3,A
1534,b2,pchip,64,m^-3,A
1600,b2,pchip,65,m^-3,A
1614,b2,pchip,66,m^-3,A
1679,b2,pchip,67,m^-3,A
1693,b2,pchip,68,m^-3,A
1788,b2,pchip,69,m^-3,A
1802,b2,pchip,70,m^-3,A
1866,b2,pchip,71,m^-3,A
1880,b2,pchip,72,m^-3,A
1945,b2,pchip,73,m^-3,A
1959,b2,pchip,74,m^-3,A
2024,b2,pchip,75,m^-3,A
2038,b2,pchip,76,m^-3,A
2103,b2,pchip,77,m^-3,A
2117,b2,pchip,78,m^-3,A
36,b2,pchip,79,m^-3,A
273,b2,pchip,79,m^-3,A
375,b2,pchip,79,m^-3,A
456,b2,pchip,79,m^-3,A
547,b2,pchip,79,m^-3,A
639,b2,pchip,79,m^-3,A
718,b2,pchip,79,m^-3,A
834,b2,pchip,79,m^-3,A
948,b2,pchip,79,m^-3,A
1026,b2,pchip,79,m^-3,A
1106,b2,pchip,79,m^-3,A
1222,b2,pchip,79,m^-3,A
1300,b2,pchip,79,m^-3,A
1378,b2,pchip,79,m^-3,A
1458,b2,pchip,79,m^-3,A
1528,b2,pchip,79,m^-3,A
1608,b2,pchip,79,m^-3,A
1687,b2,pchip,79,m^-3,A
1796,b2,pchip,79,m^-3,A
1874,b2,pchip,79,m^-3,A
1953,b2,pchip,79,m^-3,A
2032,b2,pchip,79,m^-3,A
2111,b2,pchip,79,m^-3,A
52,b2,pchip,80,m^-3,A
355,b2,pchip,80,m^-3,A
472,b2,pchip,80,m^-3,A
698,b2,pchip,80,m^-3,A
850,b2,pchip,80,m^-3,A
1086,b2,pchip,80,m^-3,A
1238,b2,pchip,80,m^-3,A
1438,b2,pchip,80,m^-3,A
1544,b2,pchip,80,m^-3,A
1776,b2,pchip,80,m^-3,A
1891,b2,pchip,80,m^-3,A
2091,b2,pchip,80,m^-3,A
62,b2,pchip,81,m^-3,A
347,b2,pchip,81,m^-3,A
482,b2,pchip,81,m^-3,A
690,b2,pchip,81,m^-3,A
860,b2,pchip,81,m^-3,A
1078,b2,pchip,81,m^-3,A
1248,b2,pchip,81,m^-3,A
1430,b2,pchip,81,m^-3,A
1554,b2,pchip,81,m^-3,A
1768,b2,pchip,81,m^-3,A
1901,b2,pchip,81,m^-3,A
2083,b2,pchip,81,m^-3,A
101,b2,pchip,82,m^-3,A
202,b2,pchip,83,m^-3,A
107,b2,pchip,84,m^-3,A
194,b2,pchip,85,m^-3,A
120,b2,pchip,86,m^-3,A
130,b2,pchip,87,m^-3,A
171,b2,pchip,88,m^-3,A
183,b2,pchip,89,m^-3,A
126,b2,pchip,90,m^-3,A
179,b2,pchip,91,m^-3,A
245,b2,pchip,92,m^-3,A
299,b2,pchip,92,m^-3,A
519,b2,pchip,92,m^-3,A
573,b2,pchip,92,m^-3,A
