id,name,field,get_pv,set_pv
1086,SR12A-PC-VSTR-02,v_sofb_disabled,SR12A-PC-VSTR-02:SLOW:DISABLED,
1089,SR12C-DI-EBPM-02,x,SR12C-DI-EBPM-02:SA:X,
1089,SR12C-DI-EBPM-02,y,SR12C-DI-EBPM-02:SA:Y,
1089,SR12C-DI-EBPM-02,enabled,SR12C-DI-EBPM-02:CF:ENABLED_S,
1089,SR12C-DI-EBPM-02,x_fofb_disabled,SR12C-PC-HBPM-02:FAST:DISABLED,
1089,SR12C-DI-EBPM-02,x_sofb_disabled,SR12C-PC-HBPM-02:SLOW:DISABLED,
1089,SR12C-DI-EBPM-02,y_fofb_disabled,SR12C-PC-VBPM-02:FAST:DISABLED,
1089,SR12C-DI-EBPM-02,y_sofb_disabled,SR12C-PC-VBPM-02:SLOW:DISABLED,
1091,SR-PC-DIPOL-01,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1093,SR12A-PC-Q2AB-04,b1,SR12A-PC-Q2AB-04:I,SR12A-PC-Q2AB-04:SETI
1095,SR12C-DI-EBPM-03,x,SR12C-DI-EBPM-03:SA:X,
1095,SR12C-DI-EBPM-03,y,SR12C-DI-EBPM-03:SA:Y,
1095,SR12C-DI-EBPM-03,enabled,SR12C-DI-EBPM-03:CF:ENABLED_S,
1095,SR12C-DI-EBPM-03,x_fofb_disabled,SR12C-PC-HBPM-03:FAST:DISABLED,
1095,SR12C-DI-EBPM-03,x_sofb_disabled,SR12C-PC-HBPM-03:SLOW:DISABLED,
1095,SR12C-DI-EBPM-03,y_fofb_disabled,SR12C-PC-VBPM-03:FAST:DISABLED,
1095,SR12C-DI-EBPM-03,y_sofb_disabled,SR12C-PC-VBPM-03:SLOW:DISABLED,
1098,SR12A-PC-S2A-03,b2,SR12A-PC-S2A-03:I,SR12A-PC-S2A-03:SETI
1098,SR12A-PC-HSTR-03,b0,SR12A-PC-HSTR-03:I,SR12A-PC-HSTR-03:SETI
1098,SR12A-PC-HSTR-03,h_fofb_disabled,SR12A-PC-HSTR-03:FAST:DISABLED,
1098,SR12A-PC-HSTR-03,h_sofb_disabled,SR12A-PC-HSTR-03:SLOW:DISABLED,
