uc_id,eng,phy
106,90.00000000,-293.90000000
106,50.00000000,-165.89000000
106,25.00000000,-83.00000000
107,100.00000000,-321.29000000
107,90.00000000,-293.90000000
107,50.00000000,-165.89000000
107,25.00000000,-83.00000000
108,100.00000000,-321.29000000
108,90.00000000,-293.90000000
108,50.00000000,-165.89000000
108,25.00000000,-83.00000000
109,100.00000000,-321.29000000
109,90.00000000,-293.90000000
109,50.00000000,-165.89000000
109,25.00000000,-83.00000000
110,100.00000000,-321.29000000
110,90.00000000,-293.90000000
110,50.00000000,-165.89000000
110,25.00000000,-83.00000000
111,100.00000000,-321.29000000
111,90.00000000,-293.90000000
111,50.00000000,-165.89000000
111,25.00000000,-83.00000000
112,200.00000000,-321.29000000
112,180.00000000,-293.90000000
112,100.00000000,-165.89000000
112,50.00000000,-83.00000000
113,100.00000000,-321.29000000
113,90.00000000,-293.90000000
113,50.00000000,-165.89000000
113,25.00000000,-83.00000000
114,100.00000000,-321.29000000
114,90.00000000,-293.90000000
114,50.00000000,-165.89000000
114,25.00000000,-83.00000000
115,135.19800000,0.13661658
115,270.04000000,0.27283567
115,405.80000000,0.41058288
115,540.00000000,0.54710257
115,675.20000000,0.68522869
115,810.00000000,0.82345088
115,945.20000000,0.96278151
115,1080.00000000,1.10181138
115,1215.60000000,1.23561786
115,1350.60000000,1.34918884
115,1470.20000000,1.43888247
