uc_id,coeff,val
1,0,0.000000
1,1,1e-06
2,0,0.000000
2,1,1e-09
3,0,0.000000
3,1,1e-12
118,0,0.000000
118,1,0.001000
217,0,0.000000
217,1,0.002040
218,0,0.000000
218,1,0.002085
219,0,0.000000
219,1,0.001447
220,0,0.000000
220,1,0.002031
221,0,0.000000
221,1,0.001451
222,0,0.000000
222,1,0.002083
223,0,0.000000
223,1,0.002104
224,0,0.000000
224,1,0.001773
225,0,0.000000
225,1,0.001777
226,0,0.000000
226,1,0.001782
227,0,0.000000
227,1,0.002197
228,0,0.000000
228,1,0.002129
229,0,0.000000
229,1,0.001771
230,0,0.000000
230,1,0.001730
231,0,0.000000
231,1,0.001774
232,0,0.000000
232,1,0.002078
233,0,0.000000
233,1,0.002035
234,0,0.000000
234,1,0.001453
235,0,0.000000
235,1,0.002061
236,0,0.000000
236,1,0.001457
237,0,0.000000
237,1,0.002065
238,0,0.000000
238,1,0.002071
239,0,0.000000
239,1,0.002076
240,0,0.000000
240,1,0.002108
241,0,0.000000
241,1,0.001451
242,0,0.000000
242,1,0.002036
243,0,0.000000
243,1,0.001458
244,0,0.000000
244,1,0.002046
245,0,0.000000
245,1,0.002057
246,0,0.000000
246,1,0.002078
247,0,0.000000
247,1,0.002077
248,0,0.000000
248,1,0.001441
249,0,0.000000
249,1,0.002063
250,0,0.000000
250,1,0.001446
251,0,0.000000
251,1,0.002071
252,0,0.000000
252,1,0.002067
253,0,0.000000
253,1,0.002088
254,0,0.000000
254,1,0.002062
255,0,0.000000
255,1,0.001440
256,0,0.000000
256,1,0.002042
257,0,0.000000
257,1,0.001456
258,0,0.000000
258,1,0.002078
259,0,0.000000
259,1,0.002148
260,0,0.000000
260,1,0.002059
261,0,0.000000
261,1,0.002053
262,0,0.000000
262,1,0.001460
263,0,0.000000
263,1,0.002090
264,0,0.000000
264,1,0.001459
265,0,0.000000
265,1,0.002066
266,0,0.000000
266,1,0.002104
267,0,0.000000
267,1,0.002040
268,0,0.000000
268,1,0.002099
269,0,0.000000
269,1,0.001456
270,0,0.000000
270,1,0.002037
271,0,0.000000
271,1,0.001471
272,0,0.000000
272,1,0.002080
273,0,0.000000
273,1,0.002090
274,0,0.000000
274,1,0.002000
275,0,0.000000
275,1,0.000238
276,0,0.000000
276,1,0.002073
277,0,0.000000
277,1,0.002117
278,0,0.000000
278,1,0.001435
279,0,0.000000
279,1,0.002069
280,0,0.000000
280,1,0.001455
281,0,0.000000
281,1,0.002061
282,0,0.000000
282,1,0.002076
